"Pathogen2","HHSregion","variable","neutral","psi","chi","co_infect"
"fluB",1,"R01",1.48708293938228,1.48866804512586,1.33581749313602,1.36494348040271
"fluB",1,"R02",1.00000000024437,1.00000000000008,1.00000000159555,1.08820144793516
"fluB",1,"amplitude1",0.255888066316077,0.256329313639949,0.285557772365253,0.299432636764926
"fluB",1,"amplitude2",0.280974433407734,0.318254696037741,0.37792640127138,0.319222159329916
"fluB",1,"tpeak1",0.914373253449394,0.915786149066636,0.898271705438627,0.902772823710104
"fluB",1,"tpeak2",0.142783036789963,0.137173699531903,0.16304425304227,0.164684622118386
"fluB",1,"rho1",0.00024883495644732,0.000248634698835074,0.000333341685690908,0.000316578480921105
"fluB",1,"rho2",0.000269246018452741,0.000268517186238545,0.000274242025039544,0.000246947800177046
"fluB",1,"psi",0,0.999989999997322,0,0.98387313957304
"fluB",1,"chi",0,0,0.362478575781847,0.387773649916903
"fluB",1,"loglik",-1504.84998209243,-1491.15871347869,-1353.99411201387,-1376.56306046905
"fluB",1,"AIC",3025.69996418486,3000.31742695738,2725.98822402773,2773.1261209381
"fluB",1,"R2",0.884669962860671,0.886954808794738,0.891936276466193,0.894551210007215
"fluB",1,"RMSE",12.2572949016369,12.2340796596474,10.7383042007971,11.4188316790875
"fluB",2,"R01",1.53819696381827,1.54108628989448,1.18639950066053,1.18639858001647
"fluB",2,"R02",1.67928591847725,1.68296727156332,1.74116535019953,1.74117072604986
"fluB",2,"amplitude1",0.209559771393949,0.207098599842425,0.31054264182643,0.310540612900536
"fluB",2,"amplitude2",0.104942781795013,0.0968244787568021,0.116072980027985,0.116074019210187
"fluB",2,"tpeak1",0.823774774025283,0.824092425439208,0.795939025188582,0.795939993380304
"fluB",2,"tpeak2",0.437047947399625,0.432127552932004,0.429115100499276,0.429117719489344
"fluB",2,"rho1",0.000278488033365081,0.000278258818277977,0.000742704052954004,0.000742695110558973
"fluB",2,"rho2",8.39603353952254e-05,8.41938530067175e-05,8.23708315716379e-05,8.23692029610482e-05
"fluB",2,"psi",0,0.49078772023583,0,1.70811093047618e-08
"fluB",2,"chi",0,0,0.28341397456792,0.283402993553083
"fluB",2,"loglik",-3371.65036488669,-3370.85559038964,-3217.90919013957,-3217.90919553854
"fluB",2,"AIC",6759.30072977338,6759.71118077928,6453.81838027913,6455.81839107707
"fluB",2,"R2",0.785353531942059,0.786265900159637,0.784368174772858,0.78436867891234
"fluB",2,"RMSE",31.7091302941324,31.7211196634533,28.9011424148346,28.9012072431412
"fluB",3,"R01",1.53908963355477,1.54384699799503,1.18576346368686,1.1747174662629
"fluB",3,"R02",1.0000000000227,1.00000000000108,1.08085024512647,1.08041585002024
"fluB",3,"amplitude1",0.211555059311647,0.209967888260739,0.31491533078779,0.317074943084649
"fluB",3,"amplitude2",0.206395559071224,0.234794668241224,0.199660904486125,0.2074706815697
"fluB",3,"tpeak1",0.85173919350915,0.852617625357235,0.831420778536466,0.832332931988896
"fluB",3,"tpeak2",0.0904412147437975,0.0840599163226953,0.104385166109488,0.0988687035817771
"fluB",3,"rho1",0.000214648454486866,0.000213810890276503,0.000453552148600002,0.000470588044238103
"fluB",3,"rho2",0.000294918806858944,0.000302977077949169,0.000221154891835824,0.000219604017855436
"fluB",3,"psi",0,0.999989999995687,0,0.999989956037292
"fluB",3,"chi",0,0,0.254092447557404,0.204138266610936
"fluB",3,"loglik",-2449.72941101039,-2434.75527682448,-2299.23849008252,-2292.02366544414
"fluB",3,"AIC",4915.45882202078,4887.51055364896,4616.47698016504,4604.04733088828
"fluB",3,"R2",0.862476261527019,0.865192553796814,0.873232491365864,0.874430804580276
"fluB",3,"RMSE",23.1145948827046,23.1002887515693,22.6787091380378,22.6496796152426
"fluB",4,"R01",1.44900789962865,1.62725040260764,1.12757332782454,1.17245369899521
"fluB",4,"R02",1.60366437255506,1.67563638076409,1.60372904407826,1.78534078460217
"fluB",4,"amplitude1",0.163154315481371,0.119775545425864,0.237212488524058,0.226955607732119
"fluB",4,"amplitude2",0.0526515789362368,0.0509965078896679,0.052660406077679,0.075494733962498
"fluB",4,"tpeak1",0.758777001364191,0.781684295070373,0.743373768861069,0.739988493228858
"fluB",4,"tpeak2",0.379630169208147,0.362383249381255,0.37962881242248,0.37690917577977
"fluB",4,"rho1",0.000159996913224027,0.000130333385076945,0.000415447731006822,0.000393584365646548
"fluB",4,"rho2",8.29775670187742e-05,7.86847119216766e-05,8.29685488843827e-05,7.23078855209401e-05
"fluB",4,"psi",0,0.999989999726585,0,0.999989999676502
"fluB",4,"chi",0,0,4.52221077140713e-07,0.131743464710339
"fluB",4,"loglik",-4621.04042218556,-4599.65796048905,-4664.59139000315,-4587.58429608912
"fluB",4,"AIC",9258.08084437111,9217.3159209781,9347.1827800063,9195.16859217824
"fluB",4,"R2",0.651515103214356,0.652455993926648,0.644257973161655,0.63706852538717
"fluB",4,"RMSE",34.5301811704769,34.6713651509802,34.8428526638109,34.0263434115715
"fluB",5,"R01",1.55643784992397,1.69052742376868,1.51628502877216,1.21879189359802
"fluB",5,"R02",1.00000000000118,1.00262780563005,1.06707868356213,1.04477562733181
"fluB",5,"amplitude1",0.207208042888195,0.168987867190862,0.221566828959896,0.310333604767351
"fluB",5,"amplitude2",0.302903647720325,0.331269819226523,0.264573024703275,0.240005625245528
"fluB",5,"tpeak1",0.864751098828096,0.880842410198361,0.857164615628212,0.843428235330385
"fluB",5,"tpeak2",0.106875095010649,0.102836911736423,0.125855314120853,0.105607759699299
"fluB",5,"rho1",0.000372127329498997,0.000329577996705485,0.000397689305115517,0.000708426543603212
"fluB",5,"rho2",0.00019992087010755,0.000205344931680499,0.000283832948693023,0.000278788516573447
"fluB",5,"psi",0,0.999989971262527,0,0.999989998124667
"fluB",5,"chi",0,0,0.394901606133786,0.31081537941254
"fluB",5,"loglik",-4449.56670608892,-4417.66968050447,-3474.38510869557,-3671.54233845915
"fluB",5,"AIC",8915.13341217784,8853.33936100893,6966.77021739114,7363.08467691829
"fluB",5,"R2",0.85849727281723,0.86109698832083,0.893263248419987,0.900966967772622
"fluB",5,"RMSE",55.2457243174551,56.1269969886874,51.0448081867225,55.1337362023044
"fluB",6,"R01",1.51764738445019,1.51806540527258,1.27975860558612,1.50571
"fluB",6,"R02",1.01245681641546,1.00000017799473,1.14482013217437,1.106169
"fluB",6,"amplitude1",0.192907469187424,0.192582920981078,0.258113777071316,0.194734
"fluB",6,"amplitude2",0.116548742014737,0.143621480164802,0.110384768077444,0.152132
"fluB",6,"tpeak1",0.82440297400854,0.824694406746354,0.805479007669552,0.816242
"fluB",6,"tpeak2",0.999999978215646,0.00821301392445207,0.0599545277002274,0.051223
"fluB",6,"rho1",0.000436350064273644,0.000436483561362105,0.000702602926019966,0.000455
"fluB",6,"rho2",0.000485377418231623,0.000554158378523816,0.00032311023383059,0.000276
"fluB",6,"psi",0,0.845600506286968,0,0
"fluB",6,"chi",0,0,0.54568665758663,0.25
