Pathogen2,HHSregion,variable,neutral,psi,chi,co_infect
fluA,6,RMSE,151.2793981,152.2394277,151.2794818,151.4890692
fluA,7,R01,1.458856284,1.465367325,1.219227519,1
fluA,7,R02,1.414860978,1.404082422,1.471786851,1.412388031
fluA,7,amplitude1,0.203487862,0.211499556,0.254369813,0.361478259
fluA,7,amplitude2,0.088003812,0.106248617,0.088337172,0.091797594
fluA,7,tpeak1,0.878677359,0.881656794,0.889042394,0.885726669
fluA,7,tpeak2,0.068725972,0.067217461,0.105786485,0.068327663
fluA,7,rho1,0.000356965,0.000355384,0.000672949,0.001513963
fluA,7,rho2,0.000370974,0.000382385,0.000364165,0.000373631
fluA,7,psi,0,0.99999,0,0.999989999
fluA,7,chi,0,0,0.25935698,4.12E-10
fluA,7,loglik,-4497.109507,-4456.552331,-4344.193523,-4439.739908
fluA,7,AIC,9010.219014,8931.104662,8706.387045,8899.479815
fluA,7,R2,0.352250732,0.353335004,0.359386114,0.351701188
fluA,7,RMSE,156.7817305,156.6734161,156.3474811,156.8065988
fluA,8,R01,1.308420217,1.308111783,1.308534034,1.308457898
fluA,8,R02,1.485206567,1.484692952,1.484826841,1.484451776
fluA,8,amplitude1,0.418671287,0.418743748,0.418697381,0.418699629
fluA,8,amplitude2,0.099547219,0.099518055,0.099552189,0.099457469
fluA,8,tpeak1,0.944760584,0.944726175,0.944775748,0.94476722
fluA,8,tpeak2,0.106175814,0.105876349,0.105928554,0.105794878
fluA,8,rho1,0.001115318,0.001115719,0.00111514,0.001115213
fluA,8,rho2,0.001065248,0.001065753,0.001065547,0.001066013
fluA,8,psi,0,9.68E-07,0,3.28E-01
fluA,8,chi,0,0,7.01E-01,1.55E-01
fluA,8,loglik,-8367.021638,-8367.023803,-8337.023146,-8267.027762
fluA,8,AIC,16750.04328,16752.04761,16683.04634,16543.111
fluA,8,R2,0.324048068,0.324077392,0.328035665,0.334065656
fluA,8,RMSE,143.6361165,143.6305261,142.6369979,141.6287212
fluA,9,R01,1.161636146,1.160602131,1.183570988,1.183350489
fluA,9,R02,1.704855903,1.731182855,1.742132851,1.744431259
fluA,9,amplitude1,0.242414681,0.250881096,0.317464253,0.316462611
fluA,9,amplitude2,0.108504062,0.117507615,0.120482759,0.121250132
fluA,9,tpeak1,0.877801994,0.877137028,0.850155604,0.849074321
fluA,9,tpeak2,0.267150758,0.264066746,0.268740261,0.268943243
fluA,9,rho1,0.000621565,0.000631722,0.000656829,0.000659619
fluA,9,rho2,0.000376098,0.00037048,0.000374396,0.000373474
fluA,9,psi,0,0.69029614,0,0.000313576
fluA,9,chi,0,0,0.213625369,0.213707843
fluA,9,loglik,-11570.42853,-11608.36758,-10589.19209,-10596.15402
fluA,9,AIC,23156.85706,23234.73516,21196.38417,21212.30803
fluA,9,R2,0.230342523,0.306312643,0.319367722,0.3184888
fluA,9,RMSE,189.1086303,176.1202862,175.1328035,175.5032924
fluA,10,R01,1.481524941,1.480385234,1.275945288,1.272121085
fluA,10,R02,1.64239951,1.609271061,1.681713466,1.680952912
fluA,10,amplitude1,0.292559739,0.300639135,0.33609146,0.337946869
fluA,10,amplitude2,0.099991168,0.105494936,0.113457687,0.113521929
fluA,10,tpeak1,0.890749657,0.893734139,0.910914246,0.910731218
fluA,10,tpeak2,0.212804604,0.189078642,0.227678967,0.227573344
fluA,10,rho1,0.000517663,0.000519371,0.000961408,0.000971243
fluA,10,rho2,0.000521726,0.000543061,0.00055087,0.000550586
fluA,10,psi,0,0.780638103,0,0.000183823
fluA,10,chi,0,0,0.503391443,0.504561666
fluA,10,loglik,-5369.686186,-5352.023627,-5045.905315,-5046.565322
fluA,10,AIC,10755.37237,10722.04725,10109.81063,10113.13064
fluA,10,R2,0.343233683,0.344827732,0.349333187,0.349201524
fluA,10,RMSE,144.5389828,144.4304054,143.9211672,143.9111351
