"Pathogen2","HHSregion","variable","neutral","psi","chi","co_infect"
"fluA",1,"R01",1.48709057238424,1.4580038339217,1.84438115718287,1.89167100494735
"fluA",1,"R02",1.36538663775608,1.05227630739134,1.31379421605312,1.27134177688758
"fluA",1,"amplitude1",0.255887839355534,0.333523773870817,0.132551285589028,0.145078079175044
"fluA",1,"amplitude2",0.0959154347784764,0.266456965310822,0.172670858314853,0.229897940881887
"fluA",1,"tpeak1",0.914373160001159,0.92687476679705,0.97526628981097,0.988732747739152
"fluA",1,"tpeak2",0.100030417031292,0.0256576368273071,0.11731197202008,0.106795434009567
"fluA",1,"rho1",0.000248831172935739,0.000245455090263309,0.000207488244178453,0.000197224724887689
"fluA",1,"rho2",0.000648623084270383,0.001067970067569,0.000893815001702539,0.000933839676093741
"fluA",1,"psi",0,0.99998999998294,0,0.999989998878797
"fluA",1,"chi",0,0,0.53421582077727,0.454925077968542
"fluA",1,"loglik",-4946.37007520405,-3966.74365256815,-3673.10854978945,-3463.33877436758
"fluA",1,"AIC",9908.74015040811,7951.4873051363,7364.21709957889,6946.67754873516
"fluA",1,"R2",0.825811182787198,0.844705277799287,0.852979097151068,0.863557017525668
"fluA",1,"RMSE",62.4664568306626,52.508542579225,50.3574074212114,49.3013498934555
"fluA",2,"R01",1.53820200630627,1.56124031927946,1.18968457198495,1.18967236204606
"fluA",2,"R02",1.59873411381439,1.67895565707969,1.63839001388464,1.63837923297577
"fluA",2,"amplitude1",0.209561113396902,0.205058181274941,0.282553690382497,0.282528185101944
"fluA",2,"amplitude2",0.0803154724888629,0.104111510487965,0.0937254766144646,0.0937185595451474
"fluA",2,"tpeak1",0.823775973695979,0.832581151512679,0.809798299937779,0.809795928556695
"fluA",2,"tpeak2",0.249458447861155,0.231403575542268,0.250360992024241,0.2503663652916
"fluA",2,"rho1",0.000278486437369764,0.000273311032006337,0.000746165190252256,0.000746188917336947
"fluA",2,"rho2",0.000329341369428739,0.000311852471215674,0.00032957964848317,0.000329584910182876
"fluA",2,"psi",0,0.999989999774975,0,2.23214711603248e-07
"fluA",2,"chi",0,0,0.313980900542806,0.313921514992193
"fluA",2,"loglik",-8231.8869647364,-8163.68514796296,-8161.41530896994,-8161.41536885402
"fluA",2,"AIC",16479.7739294728,16345.3702959259,16340.8306179399,16342.830737708
"fluA",2,"R2",0.759731133709537,0.759400839850638,0.759160853698883,0.759161735822395
"fluA",2,"RMSE",91.618217132955,91.3831981546714,91.2831426237654,91.2830374112343
"fluA",3,"R01",1.53910630454971,1.97681903436306,1.27763034909394,1.87335213559076
"fluA",3,"R02",1.22566258211894,1.26712822088691,1.14733093428737,1.25524730194626
"fluA",3,"amplitude1",0.211553303596461,0.111386394035518,0.25016172446832,0.114998337156784
"fluA",3,"amplitude2",0.100293246059881,0.130182073482458,0.193438753110472,0.18915355133865
"fluA",3,"tpeak1",0.851741333755063,0.949940958061567,0.809155636967387,0.917117247081846
"fluA",3,"tpeak2",0.973909430794004,0.0103533827937206,0.00273785354617214,0.0438302877774869
"fluA",3,"rho1",0.000214642201926459,0.000157665916562487,0.000396088256037885,0.0001759397912114
"fluA",3,"rho2",0.000714606411132906,0.00066474819993868,0.00100092651912035,0.000874477380312951
"fluA",3,"psi",0,0.999989999585266,0,0.999989996519392
"fluA",3,"chi",0,0,0.629889833468057,0.414451692128684
"fluA",3,"loglik",-8531.43946456343,-8302.7473379502,-7106.19192298008,-6665.52657961364
"fluA",3,"AIC",17078.8789291269,16623.4946759004,14230.3838459602,13351.0531592273
"fluA",3,"R2",0.781975513348298,0.797192464672317,0.818143194533316,0.839494744761591
"fluA",3,"RMSE",97.2049273581297,96.195426843643,85.9031468901435,85.3715768066481
"fluA",4,"R01",1.44901689897519,1.45701066708494,1.83347255092823,1.82301075933585
"fluA",4,"R02",1.42437124918011,1.48376923704242,1.26186509169519,1.24880886833642
"fluA",4,"amplitude1",0.163158267637879,0.164202624290787,0.0748218202631352,0.0776929289400603
"fluA",4,"amplitude2",0.026453163715552,0.0434350236606562,0.0753143740146784,0.0825366325760004
"fluA",4,"tpeak1",0.758776007937775,0.764399407489013,0.834724415934561,0.833501926593652
"fluA",4,"tpeak2",0.12561539676415,0.120297555013646,0.016125668637719,0.999999934479071
"fluA",4,"rho1",0.00015999556927277,0.000159023141050807,0.000116540793704256,0.000116877816505424
"fluA",4,"rho2",0.000338600453505136,0.000316197079986451,0.00108705216392231,0.00110041069295955
"fluA",4,"psi",0,0.999989999783003,0,0.433375045694222
"fluA",4,"chi",0,0,0.675376617159798,0.627916703615539
"fluA",4,"loglik",-12684.8777887069,-12621.9137452097,-11589.975575687,-11585.2410387932
"fluA",4,"AIC",25385.7555774138,25261.8274904194,23197.9511513741,23190.4820775865
"fluA",4,"R2",0.561648949528884,0.563006291066666,0.573387200150789,0.574832031021559
"fluA",4,"RMSE",134.755248755833,134.292980830742,126.894051374174,126.79359137747
"fluA",5,"R01",1.55644231717964,1.58469083613513,1.79571775249333,1.79360221900919
"fluA",5,"R02",1.30988659136104,1.09194342040508,1.19102731823373,1.17688270343053
"fluA",5,"amplitude1",0.207210250943965,0.209229786811261,0.135628406544624,0.142092907236602
"fluA",5,"amplitude2",0.0481188878393389,0.155021846630374,0.0905060410916945,0.114136492217246
"fluA",5,"tpeak1",0.864751712227951,0.867921771842882,0.906608793223429,0.904462503383479
"fluA",5,"tpeak2",0.936599545727097,0.916012565606674,0.937730263205247,0.955769130684693
"fluA",5,"rho1",0.000372125215729407,0.000362576788752238,0.000315775617032705,0.000313979949849986
