	GMRF Skyride: gisaid_IBV_V_combined.log			
Time	Mean	Median	Upper	Lower
2020.2076	1137.4860966279466	785.1888944333953	4217.569007625098	191.02847724324602
2020.1251100897125	982.800353464845	690.3467190356755	3542.576700498116	203.5166793752897
2020.042620179425	828.139479611534	598.9408161495311	2851.3933490989766	197.74564848147145
2019.9601302691376	675.9137521593187	500.2736351652943	2226.078368405109	148.9565716288252
2019.8776403588502	533.7772547654017	406.09452616911767	1685.815001749626	87.66121033823367
2019.7951504485627	406.069530158064	311.24163120172875	1311.3666294837856	59.20141075869626
2019.7126605382753	287.8231972294629	211.02478297417207	1020.1975759495804	41.16932023247391
2019.6301706279878	177.75651989235536	117.46390339338988	695.7370306091573	30.307017958873697
2019.5476807177004	85.52645543324847	61.02963098817007	307.634834053478	21.016771847483103
2019.465190807413	39.12610150863093	32.89471795126725	100.43024883259777	13.026761703673776
2019.3827008971255	28.502017702832934	23.901492813100305	76.30984606059172	9.954795700048024
2019.300210986838	36.97898033218482	28.47209588358036	110.18873022876375	9.618560522821847
2019.2177210765506	51.18041840892593	44.04701789165565	132.8606648695363	11.39504102742077
2019.135231166263	60.24765467198443	53.483316346852654	146.2723754824116	14.434340434043094
2019.0527412559757	60.32524986671884	53.6351972846377	141.94264946068802	20.320611521542517
2018.9702513456882	51.933456186355414	45.96493181169292	117.34290352539999	20.216493735103295
2018.8877614354008	40.269458993170126	35.756261992395075	92.44484081029073	15.598834966286386
2018.8052715251133	30.123063463072473	27.262882925332484	66.0060976015966	12.007346821722843
2018.7227816148259	21.979974883695384	19.612618617592204	48.61954482140504	8.613777010876447
2018.6402917045384	15.102929399775991	13.464573514051708	33.646456448895435	5.783789564085364
2018.557801794251	10.09506586494597	9.027251202250957	22.10030866591852	3.9829822932240733
2018.4753118839635	7.694159749727053	6.743938228847285	18.015679370116874	2.9508213393788316
2018.392821973676	12.488890420412307	7.69709225929717	56.8350163254556	2.7350629150468433
2018.3103320633886	29.549280198537808	15.335126272013525	136.90563062966447	3.18752226842392
2018.2278421531012	48.50762929053115	35.60236946314895	166.64705143307603	4.210510205127751
2018.1453522428137	64.38791327062467	54.452473378720995	190.87881368302718	5.750431353892992
2018.0628623325263	73.65546343697906	64.06709760282494	191.25761273174038	11.929055729904105
2017.9803724222388	69.17769593496162	59.68847469270444	171.25118715636685	21.99896823222694
2017.8978825119514	51.34826344862607	44.12324335600941	127.5107638429157	17.92274075103315
2017.815392601664	34.25206373150384	29.628750129435318	84.36184267962906	12.417704561604198
2017.7329026913765	20.39703353225975	18.049327465494134	46.67265249942185	7.646795348192697
2017.650412781089	11.97478685036283	10.781276000991653	26.650835745121547	4.719495115803532
2017.5679228708016	7.303828427728505	6.589215678758435	15.720134533981163	2.9656757885090146
2017.4854329605141	5.545986888490643	4.891326295243314	12.640454506325618	2.1141772222784376
2017.4029430502267	15.803531382732167	6.328058206126752	115.03986675969026	2.055182404567629
2017.3204531399392	59.07444584732403	24.045925971680425	276.0372002718834	2.6169072092802415
2017.2379632296518	92.2391933042836	68.5977117043342	332.3947443031294	3.6144493451962503
2017.1554733193643	110.10766235391817	90.4388343536525	351.86090206456635	5.165920244693402
2017.0729834090769	120.05990906197343	100.36986352254564	351.1951485164925	8.193436121412319
2016.9904934987894	118.47823123356605	98.46263638992731	333.95595886752943	21.55699149408918
2016.908003588502	94.31619047273634	79.12202396434355	256.4548720734264	28.652761220376416
2016.8255136782145	66.95801726720974	57.50938576080173	168.5620863740872	22.458159952239292
2016.743023767927	46.80852736438652	40.830954976213015	112.76106155451993	16.274496615822642
2016.6605338576396	31.68851318310603	27.3013235755451	78.12191583172051	10.830196348457314
2016.5780439473522	19.108780680597864	16.808751891844476	45.831141242638445	7.006250541465236
2016.4955540370647	11.91454006896965	10.750217618940411	25.580592627328258	4.754849851515885
2016.4130641267773	15.455483663151343	10.167882385191557	63.00955120372447	3.8950565039403946
2016.3305742164898	52.85139978323677	21.977176069726028	268.00407071514644	4.373984306839951
2016.2480843062024	86.93407822215012	59.594418405914695	320.6128578736594	5.72647849770461
2016.165594395915	106.6717600326563	86.63319428398697	341.9594315436566	7.801532693197153
2016.0831044856275	119.1159201730164	98.78659817977916	360.7315913134368	10.794319440893451
2016.00061457534	122.62167104140815	101.99979441289577	345.830813631974	18.419458615324462
2015.9181246650526	107.8907109503845	87.80384650393076	313.5109842779159	28.851041032097076
2015.8356347547651	70.120134149973	56.91808690972102	202.78459775596505	20.6112557776283
2015.7531448444777	37.223229644661274	31.68327851714329	95.16850241217341	12.445229554140138
2015.6706549341902	19.021485243160065	16.817888266072817	43.466897149783755	7.292807484111967
2015.5881650239028	9.95109433264011	8.881878080547258	21.681290215440026	3.846962007776009
2015.5056751136153	5.277833786053719	4.759274491035315	11.305340797654992	2.1649045453449642
2015.4231852033279	3.8309112106076753	3.414321899238072	8.587593595446418	1.476237891430574
2015.3406952930404	6.417312822298871	4.794520725477976	20.65216314080997	1.5740226472693515
2015.258205382753	15.851586086029	11.433289061482068	55.5349890246652	2.409207117648191
2015.1757154724655	29.727652270107573	23.912637657997795	87.56444749148852	5.225077130510821
2015.093225562178	38.07709146558162	32.984760974691895	96.03301086152864	9.491962555617087
2015.0107356518906	35.885105672822924	31.293423933686714	86.27476292928219	12.537614213555093
2014.9282457416032	27.118273883466877	23.839968980192268	63.46065387290261	9.88166758084873
2014.8457558313157	17.75090443554833	15.669797725348207	40.36033863563566	6.357210518598922
2014.7632659210283	10.69337499805965	9.446946166859378	24.248125237026194	3.9109342150801396
