	GMRF Skyride: gisaid_Vic_100901_190430_combined.log			
Time	Mean	Median	Upper	Lower
2019.326027	186.56423258594828	114.77703725230575	805.6207171226284	18.497104752534383
2019.227295184435	167.9457614284711	123.18272554564672	586.2724137951346	33.13775347618001
2019.12856336887	140.6839679817702	111.57944475314314	417.3540871073235	34.93677410861197
2019.0298315533048	106.9107260224236	87.72232039775454	298.33328048556865	29.793862320219652
2018.9310997377397	68.2679387236401	57.66874871667713	177.98738979072402	21.04707184891543
2018.8323679221746	46.48989813293663	40.07223847412653	114.50224206160556	15.503597400504242
2018.7336361066095	30.597403653869833	26.509237712480243	75.37661989729779	10.748310082030388
2018.6349042910444	19.51659448713643	17.009328684422243	47.37159555362496	6.918401554482011
2018.5361724754794	11.946283591825923	10.543296050314778	27.695396341391508	4.463440956834916
2018.4374406599143	8.684670220553112	7.627823931288919	20.5630152655258	3.117491479510957
2018.3387088443492	15.078334531921417	10.993268169514907	51.88154720902112	3.536634686340941
2018.239977028784	63.52469316055507	48.00773215060883	203.5807362438851	14.362685570855342
2018.141245213219	125.79289582425326	104.54143049516043	349.92061216053025	37.16187977026413
2018.042513397654	143.2658416787623	121.26866871429942	376.498443091459	44.79834960943163
2017.9437815820888	106.5548345374297	91.40336246192747	262.1515547955194	34.95602368587203
2017.8450497665237	62.98148812857682	54.84073718906725	153.11967329549458	21.90653983731208
2017.7463179509587	33.07834322823129	29.341335686823754	77.4673296243937	12.166845128939102
2017.6475861353936	17.41634435197864	15.479332308715797	39.25477260269778	6.639476282172617
2017.5488543198285	9.400317198185201	8.351488251566918	21.152599222721236	3.5576384911248877
2017.4501225042634	5.5230741139290815	4.926858930436572	12.398969625760165	2.231307638017746
2017.3513906886983	9.232388552789043	6.284707924619545	32.61148981488508	2.1469725696708553
2017.2526588731332	102.9036170475764	62.71592995076569	421.6501012171559	14.236270658049529
2017.1539270575681	222.96576908798934	183.8809858267881	629.368601168768	57.291685822850255
2017.055195242003	235.71538800974315	198.52332934494808	623.357026424593	69.51265896529021
2016.956463426438	192.7457995377085	159.1983749816031	532.1294001675353	54.480938442915026
2016.8577316108729	135.92353607698544	115.11592154132566	356.6240847771977	40.22447570230858
2016.7589997953078	91.74550076055961	78.71115780032477	228.8358828203112	30.06500627490813
2016.6602679797427	59.08772296055876	51.29079992684713	143.2440521559435	20.420625027850832
2016.5615361641776	33.23607089965379	29.300032689493655	78.02136911311129	12.213871318662123
2016.4628043486125	17.906683740702437	16.03268312920823	39.89016066876267	6.819633136181946
2016.3640725330474	12.704572198952944	11.06934332757948	30.78578632292525	4.37818295047617
2016.2653407174823	42.55326244039014	34.21199343247835	121.23755784843009	12.244322744594223
2016.1666089019172	145.58289495852924	117.24883838578303	415.9944887955504	40.746579428770595
2016.0678770863522	204.44778016430558	171.20864808282914	541.4928120072607	62.82612588128265
2015.969145270787	172.03304995372903	146.12519973688134	448.44585354032927	55.07042255156575
2015.870413455222	109.36807190439829	93.38042455421397	274.970119118879	36.75322825045357
2015.771681639657	57.73005361797285	50.54855702367476	136.82744372495924	20.50838051439525
2015.6729498240918	28.01670641844202	25.06853451695487	63.9341320814888	10.380845329871375
2015.5742180085267	13.079134126213692	11.758234202939926	28.587899967213744	5.161773555292015
2015.4754861929616	5.783320484926648	5.246681006224355	12.514870034722067	2.3145603443057854
2015.3767543773965	2.573583973285478	2.336209935677955	5.629452066549997	0.9671032888099237
2015.2780225618314	5.66572567153755	4.841428111488247	14.590818284249067	1.8896494049157508
