Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006-AR,4.119,2.018,5.112,4.831,3.970,2.558,3.197,4.014,4.503,4.768,5.467,5.657
2007-AR,6.721,2.579,1.676,3.914,3.721,4.094,4.970,0.866,4.363,4.835,1.713,5.896
2008-AR,1.506,4.739,10.623,8.681,4.804,4.305,3.702,6.519,7.413,3.541,2.218,3.843
2009-AR,2.686,2.712,5.219,5.100,10.218,2.850,7.420,3.678,8.712,13.384,1.622,6.102
2010-AR,3.756,3.179,3.340,3.272,6.697,2.654,4.962,1.540,4.234,1.113,3.852,1.551
2011-AR,1.266,4.552,3.071,11.312,9.688,1.732,1.746,4.075,2.535,2.503,8.893,6.296
2012-AR,2.938,2.965,6.986,2.262,1.471,1.972,2.622,4.033,4.554,3.120,1.732,3.415
2013-AR,5.624,4.066,3.264,4.988,6.228,3.123,4.372,4.786,3.125,4.591,3.536,5.446
2014-AR,1.982,2.231,4.523,5.440,5.868,6.484,4.197,2.449,2.585,5.198,2.552,3.003
2015-AR,3.417,2.807,7.812,5.464,11.015,4.166,5.552,2.961,1.764,3.401,10.814,9.185
2016-AR,1.651,2.119,8.000,5.616,5.144,3.151,5.013,7.588,2.016,2.098,3.123,3.156
2017-AR,2.592,2.436,5.144,9.489,6.865,3.736,5.200,5.925,0.931,1.964,1.078,4.649
2018-AR,2.505,10.796,5.012,4.547,3.673,2.723,3.337,6.248,4.898,5.254,4.887,7.172
2019-AR,4.280,7.472,3.716,7.440,10.020,6.285,4.433,5.184,2.101,6.883,5.161,1.867
2020-AR,5.720,5.289,7.284,5.757,7.922,4.319,3.318,6.560,5.293,4.441,1.994,3.681
1948-CO,1.703,2.276,2.181,1.329,1.850,2.267,1.282,1.735,0.623,0.901,0.819,1.480
1949-CO,2.094,0.854,1.768,1.444,2.543,3.025,2.309,1.415,1.075,1.280,0.250,0.762
1950-CO,1.325,0.790,0.802,1.192,0.890,1.057,2.303,1.152,1.683,0.309,0.768,0.822
1951-CO,1.330,0.966,0.731,1.835,1.559,1.390,1.329,2.376,0.650,1.427,1.253,2.769
1952-CO,1.925,0.753,1.660,2.276,1.724,0.569,1.674,2.415,1.183,0.040,1.509,0.735
1953-CO,0.765,0.732,1.385,1.934,1.982,1.024,2.564,1.879,0.120,1.608,1.571,0.907
1954-CO,0.727,0.367,1.373,0.578,1.817,0.559,2.347,1.787,1.636,1.095,0.753,0.766
1955-CO,0.738,1.302,0.596,1.260,2.839,0.833,1.413,2.702,0.716,0.345,1.125,0.864
1956-CO,2.000,1.037,0.739,1.530,1.147,0.632,1.747,1.427,0.100,0.791,1.016,0.877
1957-CO,2.608,0.783,1.579,3.520,4.175,1.524,3.328,2.821,0.389,2.247,2.208,0.580
1958-CO,0.880,1.191,1.974,1.880,1.723,1.154,1.849,1.670,1.262,0.893,0.873,0.713
1959-CO,0.870,1.465,1.245,1.702,1.922,1.251,1.130,2.437,2.016,3.039,0.429,0.962
1960-CO,1.339,1.975,1.311,1.252,1.277,1.006,1.637,0.672,0.983,2.300,0.724,1.312
1961-CO,0.265,0.948,2.400,1.515,1.633,1.201,2.099,2.677,2.764,1.885,1.160,1.042
1962-CO,1.105,1.662,0.964,1.163,1.260,1.407,1.907,0.738,1.200,1.104,1.106,0.672
