HHS_region,year,Mean-Temp-F,Mean-Precip-Inches,Mean-Palmer-Drought-Index,Mean-Tmax,Mean-Tmin,Mean-HDD,Mean-CDD
region10,1977,40.4313011,16.61949033,-2.665660303333333,50.902931233333334,29.953318300000003,746.8940426666667,2.1573503016666664
region10,1978,40.824030566666664,37.28294626666666,0.886962155,49.1066119,32.53285663333333,731.841573,0.8327083973333332
region10,1979,37.4080162,27.564838100000003,-0.616921962,46.6609713,28.1476021,835.8001913333334,0.6399167769999999
region10,1980,40.868520100000005,33.84744293333333,-0.4006034486666667,49.96428806666666,31.777965566666666,734.034383,3.5364959999999996
region10,1981,41.87187573333333,32.443638166666666,0.23795698066666668,51.10541786666666,32.63255566666667,700.5148519999999,1.454066965
region10,1982,39.186587,43.757295,2.279509146666667,48.06360883333334,30.297412866666665,782.4170936666666,1.9206086393333335
region10,1983,40.3429133,41.2819144,2.6723642759999997,48.605183933333336,32.0806637,747.1526083333333,0.913750181
region10,1984,38.97004953333333,37.1518351,3.5141900400000003,47.355616266666665,30.576088566666666,788.4535930000001,0.759958426
region10,1985,37.066508,29.5122684,1.2073406663333333,46.109624233333335,28.02788796666667,845.8141683333333,0.7285874896666668
region10,1986,38.210283933333336,34.77963763333333,0.4805887056666666,46.93996176666667,29.469422666666663,810.6127526666666,0.092283403
region10,1987,40.72921373333333,30.65421166666667,-1.1062674726666666,49.87457656666666,31.5794417,735.0191653333333,0.21883758133333334
region10,1988,41.33043923333333,26.715895999999997,-2.94059658,51.4613851,31.183546033333332,719.756266,2.974812823666667
region10,1989,39.7748413,33.21440856666667,-0.8697677296666666,48.94940183333333,30.6053206,762.1520996666667,1.6034835296666667
region10,1990,41.4447034,30.761233333333333,-1.1979132693333334,50.994290666666664,31.888868333333335,713.4852293333333,1.9372168793333333
region10,1991,39.8413658,34.489437433333336,-0.7590104700000001,49.21480816666667,30.46523156666667,769.761658,5.57390038
region10,1992,43.12075933333333,27.38907306666667,-1.8545476966666667,52.766675299999996,33.47223283333333,666.153727,3.4690754
region10,1993,38.527782433333336,31.4627215,-1.4001711036666666,47.24946723333333,29.7979393,801.1973266666668,1.2471125533333334
region10,1994,41.05379993333333,23.40322335333333,-1.71481057,50.78883996666667,31.317344666666667,724.6286213333333,1.884212673333333
region10,1995,40.43295286666667,38.7933909,-0.09084863666666666,49.44588339999999,31.407469399999997,748.0896200000001,3.8403753833333334
region10,1996,41.241647066666665,44.99854150000001,2.92153478,50.21303433333333,32.250247933333334,721.8824666666666,3.1833335566666663
region10,1997,39.76242953333333,47.466302899999995,3.16966152,48.5395139,30.980763733333333,764.0622763333334,0.6228875713333334
region10,1998,41.35323333333333,35.6743609,1.3500296269999998,50.04207993333333,32.65685396666667,718.4513956666666,2.7112043666666668
region10,1999,40.37176133333333,44.4136149,1.7512639366666667,49.185941066666665,31.547460533333332,749.8467203333333,4.862858653333333
region10,2000,41.80187733333333,32.5103798,-0.8567978433333333,51.3809446,32.22131666666667,703.998698,1.5604249356666668
region10,2001,39.2898407,22.304053,-2.33382579,48.35177356666667,30.226241433333332,777.961202,1.1534334723333333
region10,2002,40.13772963333333,36.50405753333333,-1.2902453733333334,49.28837456666667,30.981812166666668,755.8433026666667,3.526383636333333
