Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003-UT,930.691,956.652,765.816,578.144,269.505,101.727,2.672,11.831,144.485,321.09,930.978,1067.327
2004-UT,1259.516,1045.336,604.004,509.248,281.691,96.549,16.075,42.857,181.024,498.481,871.27,1071.321
2005-UT,1009.96,887.809,808.023,575.04,305.089,164.944,8.174,33.804,171.089,450.264,774.619,1105.488
2006-UT,1082.253,936.335,890.209,503.244,233.773,60.584,5.816,30.454,226.546,543.997,796.2,1142.868
2007-UT,1329.491,863.886,673.002,499.411,256.751,64.504,3.93,12.787,153.035,491.092,722.74,1253.988
2008-UT,1312.855,977.13,872.324,661.984,387.231,113.139,9.275,19.026,153.453,452.648,714.848,1174.741
2009-UT,1099.313,896.884,802.332,593.128,243.061,161.087,14.462,33.714,102.473,599.293,770.756,1338.181
2010-UT,1165.279,983.832,830.889,610.41,469.597,106.569,13.519,31.969,112.922,428.309,901.094,1005.284
2011-UT,1221.03,1027.767,801.368,650.867,450.551,141.41,17.766,14.818,119.458,462.551,865.196,1174.743
2012-UT,1046.972,927.846,689.83,466.277,255.375,62.337,10.901,11.045,113.021,441.915,704.28,1145.057
2013-UT,1394.203,1053.526,747.936,604.074,299.244,57.87,7.388,19.611,151.962,569.352,799.718,1295.638
2014-UT,1070.817,823.218,738.812,548.474,280.234,99.665,8.017,48.032,108.656,373.456,813.793,1025.51
2015-UT,1009.161,724.186,619.061,535.056,356.752,42.363,27.753,21.316,85.833,332.904,907.541,1188.458
2016-UT,1185.523,867.467,709.556,511.264,342.879,39.605,9.746,23.5,157.537,375.162,691.357,1162.821
2017-UT,1223.635,809.612,610.897,576.137,311.584,54.833,5.502,17.573,171.412,527.307,656.142,1034.904
2018-UT,987.663,914.596,800.533,490.347,244.61,56.852,4.087,14.529,81.559,535.806,895.192,1154.293
2019-UT,1175.454,1062.165,842.05,501.667,450.931,131.396,11.084,13.599,130.517,687.301,790.553,1116.6
2020-UT,1113.948,954.211,754.861,533.634,233.762,107.652,10.218,5.502,112.072,392.325,781.459,1156.387
1948-TN,1100.619,657.136,432.586,144.9,93.17,0,0,0,29.543,317.49,468.034,737.936
1949-TN,617.846,571.346,559.613,306.444,66.451,0,0,0,69.856,137.279,597.683,724.245
1950-TN,528.528,601.445,629.822,353.977,44.005,4.325,0,4.476,47.653,153.964,714.276,986.414
1951-TN,811.312,664.357,540.325,320.356,95.673,1.27,0,0,25.686,193.633,714.264,734.074
1952-TN,672.154,608.57,570.841,268.943,70.146,0,0,0,45.31,399.863,586.588,798.733
1953-TN,697.742,638.559,467.935,320.235,36.005,0,0,0,26.933,183.996,580.146,857.06
1954-TN,820.888,556.186,582.108,126.534,175.274,0,0,0,7.03,210.134,611.22,857.443
1955-TN,895.665,683.86,488.398,157.917,48.158,29.139,0,0,9.749,268.289,620.478,861.385
1956-TN,972.041,552.584,541.065,308.093,53.616,4.887,0,0,51.884,169.903,589.001,540.636
1957-TN,850.376,517.052,581.418,165.453,58.318,0,0,0,21.666,346.587,522.522,717.397
1958-TN,991.527,995.841,690.768,254.993,80.124,1.777,0,0,30.18,272.217,475.986,946.858
1959-TN,930.324,666.701,616.418,241.016,40.803,7.537,0,0,18.151,191.461,616.7,748.994
