HHS_region,season,mean_palmerdrought
region1,1948.0,-1.825875
region1,1949.0,-2.651452380952381
region1,1950.0,-1.1623809523809523
region1,1951.0,-0.5372142857142856
region1,1952.0,-0.20623809523809522
region1,1953.0,0.2647380952380952
region1,1954.0,2.6050714285714287
region1,1955.0,0.7993095238095238
region1,1956.0,-0.24219047619047615
region1,1957.0,-0.9589761904761905
region1,1958.0,-0.4261666666666667
region1,1959.0,1.117904761904762
region1,1960.0,-0.26602380952380955
region1,1961.0,-0.04319047619047617
region1,1962.0,-0.07788095238095238
region1,1963.0,-1.379357142857143
region1,1964.0,-2.169547619047619
region1,1965.0,-2.649952380952381
region1,1966.0,-2.7205238095238093
region1,1967.0,-1.7050952380952382
region1,1968.0,-1.2715476190476191
region1,1969.0,0.31078571428571433
region1,1970.0,-0.5009761904761905
region1,1971.0,-0.5877619047619047
region1,1972.0,1.108547619047619
region1,1973.0,1.446761904761905
region1,1974.0,1.6557619047619048
region1,1975.0,2.0445952380952384
region1,1976.0,0.8072380952380953
region1,1977.0,1.9842380952380951
region1,1978.0,-0.7453809523809524
region1,1979.0,0.3220952380952381
region1,1980.0,-0.15369047619047618
region1,1981.0,-0.028023809523809513
region1,1982.0,-1.0650714285714284
region1,1983.0,0.9819285714285714
region1,1984.0,-0.37188095238095237
region1,1985.0,1.3090714285714287
region1,1986.0,-0.6603809523809524
region1,1987.0,-0.35154761904761905
region1,1988.0,0.017428571428571422
region1,1989.0,0.8363571428571429
region1,1990.0,0.7066666666666667
region1,1991.0,1.143190476190476
region1,1992.0,0.19733333333333333
region1,1993.0,-0.266
region1,1994.0,0.009738095238095228
region1,1995.0,0.5239047619047619
region1,1996.0,1.3432857142857142
region1,1997.0,0.8613333333333334
region1,1998.0,0.24438095238095242
region1,1999.0,1.0836428571428571
region1,2000.0,0.0264761904761905
region1,2001.0,-1.3338809523809525
region1,2002.0,-0.5901428571428571
region1,2003.0,0.018785714285714277
region1,2004.0,0.29926190476190473
region1,2005.0,1.5660714285714288
region1,2006.0,2.608690476190476
region1,2007.0,1.4454761904761906
region1,2008.0,3.433309523809524
region1,2009.0,2.7363095238095236
region1,2010.0,1.6535238095238094
region1,2011.0,2.1859047619047622
region1,2012.0,0.6407619047619048
region1,2013.0,-0.1710714285714286
region1,2014.0,-0.33285714285714285
region1,2015.0,-0.20283333333333334
region1,2016.0,-1.3982142857142859
region1,2017.0,-0.39664285714285713
region1,2018.0,0.6150476190476191
region1,2019.0,1.672047619047619
region1,2020.0,0.2664285714285714
region1,2021.0,0.31272222222222223
region10,1948.0,2.700833333333333
region10,1949.0,-0.4328095238095238
region10,1950.0,1.133857142857143
region10,1951.0,0.34771428571428575
region10,1952.0,-0.6110952380952381
region10,1953.0,0.20757142857142857
region10,1954.0,-0.01076190476190476
region10,1955.0,0.9514761904761906
region10,1956.0,-0.12514285714285714
region10,1957.0,0.9346190476190476
region10,1958.0,-0.09971428571428573
region10,1959.0,0.45780952380952383
region10,1960.0,-0.7113809523809523
region10,1961.0,-0.5206666666666667
region10,1962.0,0.09090476190476193
region10,1963.0,0.1432857142857143
region10,1964.0,0.8627619047619048
region10,1965.0,-0.4312380952380953
region10,1966.0,-0.0158095238095238
region10,1967.0,-1.1778095238095239
region10,1968.0,1.1412380952380954
region10,1969.0,-0.7106190476190476
region10,1970.0,1.1439047619047618
region10,1971.0,1.3963333333333334
region10,1972.0,0.9883809523809524
region10,1973.0,1.8137142857142858
region10,1974.0,-1.4145714285714286
region10,1975.0,2.017142857142857
region10,1976.0,-0.3872380952380953
region10,1977.0,1.294952380952381
region10,1978.0,-1.911
region10,1979.0,-0.03528571428571431
region10,1980.0,-0.04814285714285716
region10,1981.0,0.985
region10,1982.0,1.3605238095238097
region10,1983.0,3.412857142857143
region10,1984.0,2.9782380952380954
region10,1985.0,1.736095238095238
region10,1986.0,-0.5533333333333333
region10,1987.0,-1.696952380952381
region10,1988.0,-1.5700952380952382
region10,1989.0,-1.8364761904761906
region10,1990.0,-0.6479047619047619
region10,1991.0,-1.1504285714285716
region10,1992.0,-1.7025238095238096
region10,1993.0,-1.5443809523809524
region10,1994.0,-0.6521904761904762
region10,1995.0,0.47104761904761905
region10,1996.0,1.710904761904762
region10,1997.0,2.7069047619047617
region10,1998.0,2.375857142857143
region10,1999.0,-0.152
region10,2000.0,0.014047619047619022
region10,2001.0,-1.358142857142857
region10,2002.0,-2.739809523809524
region10,2003.0,-1.8510952380952383
region10,2004.0,-1.1707619047619047
region10,2005.0,-0.7238095238095239
region10,2006.0,-0.9316666666666668
region10,2007.0,-0.31138095238095237
region10,2008.0,-1.1159523809523808
region10,2009.0,-0.5955714285714285
region10,2010.0,0.6384285714285715
region10,2011.0,-0.41838095238095235
region10,2012.0,1.0665714285714285
region10,2013.0,-0.8041428571428572
region10,2014.0,-0.8629047619047621
region10,2015.0,-1.6323333333333334
region10,2016.0,-0.38295238095238093
region10,2017.0,-0.3498095238095238
region10,2018.0,-0.536
region10,2019.0,-0.7403333333333334
region10,2020.0,-1.2682857142857142
region10,2021.0,-0.9454444444444445
region2,1948.0,0.24012500000000003
region2,1949.0,-1.6725714285714286
region2,1950.0,0.5375
region2,1951.0,-0.14150000000000001
region2,1952.0,0.9456428571428571
region2,1953.0,-0.24285714285714288
region2,1954.0,0.7391428571428572
region2,1955.0,-0.14507142857142855
region2,1956.0,-0.36607142857142855
region2,1957.0,-1.1840714285714284
region2,1958.0,0.18792857142857144
region2,1959.0,1.0307142857142857
region2,1960.0,-0.28264285714285714
