HHS_region,season,mean_temp
region2,1985.0,40.610125000000004
region2,1986.0,40.302875
region2,1987.0,39.7988125
region2,1988.0,39.358125
region2,1989.0,39.1465
region2,1990.0,40.4296875
region2,1991.0,42.6016875
region2,1992.0,40.0154375
region2,1993.0,38.78275
region2,1994.0,37.8014375
region2,1995.0,41.2484375
region2,1996.0,38.423625
region2,1997.0,40.4265
region2,1998.0,42.1426875
region2,1999.0,41.9318125
region2,2000.0,41.9955
region2,2001.0,39.17425
region2,2002.0,44.0718125
region2,2003.0,38.624375
region2,2004.0,40.2228125
region2,2005.0,40.4636875
region2,2006.0,42.7445
region2,2007.0,41.0580625
region2,2008.0,42.3945625
region2,2009.0,40.3368125
region2,2010.0,41.95575
region2,2011.0,40.3786875
region2,2012.0,45.0471875
region2,2013.0,41.3725
region2,2014.0,38.37175
region2,2015.0,38.3826875
region2,2016.0,44.4604375
region2,2017.0,43.5485
region2,2018.0,40.8911875
region2,2019.0,41.09075
region2,2020.0,42.4423125
region2,2021.0,48.773
region3,1948.0,39.3243
region3,1949.0,47.280775
region3,1950.0,46.2801
region3,1951.0,44.997249999999994
region3,1952.0,46.048475
region3,1953.0,46.0947
region3,1954.0,46.898425
region3,1955.0,45.878325000000004
region3,1956.0,44.0376
region3,1957.0,46.52705
region3,1958.0,43.7926
region3,1959.0,44.233375
region3,1960.0,45.3013
region3,1961.0,43.692525
region3,1962.0,45.170425
region3,1963.0,42.857725
region3,1964.0,44.02865
region3,1965.0,44.15645
region3,1966.0,44.351350000000004
region3,1967.0,44.49565
region3,1968.0,43.158175
region3,1969.0,44.287549999999996
region3,1970.0,42.657775
region3,1971.0,45.005900000000004
region3,1972.0,46.6492
region3,1973.0,45.736125
region3,1974.0,47.425574999999995
region3,1975.0,44.792225
region3,1976.0,47.229875
region3,1977.0,42.308375
region3,1978.0,42.894975
region3,1979.0,44.30415
region3,1980.0,44.901125
region3,1981.0,44.381
region3,1982.0,43.080799999999996
region3,1983.0,46.236275
region3,1984.0,44.433175
region3,1985.0,46.448175
region3,1986.0,46.313425
region3,1987.0,45.2447
region3,1988.0,44.824325
region3,1989.0,44.904650000000004
region3,1990.0,46.514475
region3,1991.0,48.128875
region3,1992.0,46.315825000000004
region3,1993.0,44.7727
region3,1994.0,44.714675
region3,1995.0,46.65105
region3,1996.0,43.834325
region3,1997.0,45.9091
region3,1998.0,47.355174999999996
region3,1999.0,47.53125
region3,2000.0,47.350025
region3,2001.0,44.569775
region3,2002.0,48.762925
region3,2003.0,44.939800000000005
region3,2004.0,45.970175
region3,2005.0,46.357324999999996
region3,2006.0,47.946675
region3,2007.0,46.321974999999995
region3,2008.0,48.0766
region3,2009.0,45.774375
region3,2010.0,46.068799999999996
region3,2011.0,45.790075
region3,2012.0,49.62765
region3,2013.0,46.240674999999996
region3,2014.0,44.31875
region3,2015.0,44.32595
region3,2016.0,49.246775
region3,2017.0,49.60985
region3,2018.0,46.07065
region3,2019.0,47.7852
region3,2020.0,48.748575
region3,2021.0,53.1468
region4,1948.0,49.9300625
region4,1949.0,54.794875
region4,1950.0,54.67340625
region4,1951.0,52.09678125
region4,1952.0,54.12021875
region4,1953.0,53.092765625
region4,1954.0,54.29615625
region4,1955.0,53.904343749999995
region4,1956.0,52.857625
region4,1957.0,55.050140625
region4,1958.0,50.728140625
region4,1959.0,52.623125
region4,1960.0,51.838890625
region4,1961.0,52.40909375
region4,1962.0,52.977546875
region4,1963.0,51.753
region4,1964.0,51.516203125000004
region4,1965.0,53.029609375
region4,1966.0,52.3300625
region4,1967.0,53.2951875
region4,1968.0,50.934390625
region4,1969.0,51.022203125
region4,1970.0,51.026109375
region4,1971.0,52.717265625
region4,1972.0,55.140640625
region4,1973.0,53.312015625
region4,1974.0,56.00565625
region4,1975.0,52.8466875
region4,1976.0,53.943875
region4,1977.0,49.66209375
region4,1978.0,50.504828125
region4,1979.0,52.62628125
region4,1980.0,51.90896875
region4,1981.0,52.335328125000004
region4,1982.0,51.931484375000004
region4,1983.0,52.722781250000004
region4,1984.0,51.71153125
region4,1985.0,53.782453125
region4,1986.0,54.445328125
region4,1987.0,53.589
region4,1988.0,52.18734375
region4,1989.0,53.59034375
region4,1990.0,53.94290625
region4,1991.0,55.46875
region4,1992.0,53.9296875
region4,1993.0,52.3483125
region4,1994.0,52.8951875
region4,1995.0,54.394640625
region4,1996.0,51.2695
region4,1997.0,53.713015625000004
region4,1998.0,53.304171875
region4,1999.0,56.1474375
region4,2000.0,54.58434375
region4,2001.0,52.348265625
region4,2002.0,54.853125
region4,2003.0,53.3673125
region4,2004.0,53.589390625
region4,2005.0,54.7135625
region4,2006.0,55.072359375
region4,2007.0,53.80365625
region4,2008.0,54.8693125
region4,2009.0,53.249249999999996
region4,2010.0,51.945109375
region4,2011.0,53.4791875
region4,2012.0,56.261734375
region4,2013.0,53.391015625
region4,2014.0,52.32653125
region4,2015.0,53.03690625
region4,2016.0,56.42853125
region4,2017.0,58.001
region4,2018.0,53.99384375
region4,2019.0,55.51403125
region4,2020.0,56.664796875
region4,2021.0,58.9741875
region5,1948.0,28.780416666666667
region5,1949.0,37.646875
region5,1950.0,35.3248125
region5,1951.0,34.412104166666666
region5,1952.0,35.73
region5,1953.0,37.1716875
region5,1954.0,38.867333333333335
region5,1955.0,37.41585416666667
