HHS_region,pathogen2,chi,loglik
9,fluB,0,-7135.027232
9,fluB,0.1,-7104.364531
9,fluB,0.2,-7091.126223
9,fluB,0.3,-7092.721253
9,fluB,0.4,-6593.218738
9,fluB,0.448583713,-6586.102657
9,fluB,0.478583713,-6582.6534
9,fluB,0.5,-6580.614261
9,fluB,0.508583713,-6579.893146
9,fluB,0.538583713,-6577.790451
9,fluB,0.568583713,-6576.308198
9,fluB,0.598111618,-6467.347686
9,fluB,0.598583713,-6454.268036
9,fluB,0.6,-6472.536631
9,fluB,0.628583713,-6472.488814
9,fluB,0.658583713,-6459.127172
9,fluB,0.688583713,-6512.5727
9,fluB,0.7,-6517.065397
9,fluB,0.718583713,-6530.668193
9,fluB,0.8,-7215.536511
9,fluB,0.9,-7322.682412
9,fluB,1,-7803.988487
10,fluB,0,-2339.689412
10,fluB,0.1,-2320.052305
10,fluB,0.132664188,-2317.833512
10,fluB,0.162664188,-2313.146895
10,fluB,0.192664188,-2310.778869
10,fluB,0.2,-2310.143162
10,fluB,0.222664188,-2313.05549
10,fluB,0.252664188,-2313.296093
10,fluB,0.265328376,-2315.491686
10,fluB,0.282664188,-2313.487391
10,fluB,0.3,-2311.360147
10,fluB,0.312664188,-2311.192624
10,fluB,0.4,-2327.016524
10,fluB,0.5,-2381.40775
10,fluB,0.6,-2803.388169
10,fluB,0.7,-2807.000499
10,fluB,0.8,-2810.752602
10,fluB,0.9,-2815.153988
10,fluB,1,-2820.219434
