HHS_region,pathogen2,psi,loglik
8,fluB,0.77,-3404.785201
8,fluB,0.8,-3405.133571
8,fluB,0.8,-3405.133571
8,fluB,0.13,-3393.099459
8,fluB,0.16,-3391.029964
8,fluB,0.19,-3388.723924
8,fluB,0.22,-3387.892064
8,fluB,0.25,-3386.108046
8,fluB,0.28,-3383.062055
8,fluB,0.31,-3307.480014
8,fluB,1,-3307.767152
9,fluB,0,-6481.452152
9,fluB,0.1,-6473.10822
9,fluB,0.194540618,-6481.12315
9,fluB,0.2,-6481.307853
9,fluB,0.3,-6468.72035
9,fluB,0.4,-6497.642974
9,fluB,0.5,-6470.845738
9,fluB,0.6,-6483.926142
9,fluB,0.7,-6487.16419
9,fluB,0.71,-6487.433608
9,fluB,0.74,-6475.332395
9,fluB,0.77,-6499.102589
9,fluB,0.8,-6496.866439
9,fluB,0.8,-6488.759113
9,fluB,0.83,-6473.656861
9,fluB,0.86,-6498.304825
9,fluB,0.89,-7099.824691
9,fluB,0.9,-6489.661022
9,fluB,0.92,-6484.058647
9,fluB,0.95,-6489.870636
9,fluB,0.98,-6496.191683
9,fluB,1,-6484.30148
10,fluB,0,-2315.326951
10,fluB,0.1,-2312.354959
10,fluB,0.2,-2312.325088
10,fluB,0.3,-2312.282672
10,fluB,0.4,-2311.134045
10,fluB,0.5,-2312.35278
10,fluB,0.6,-2314.63786
10,fluB,0.7,-2312.446804
10,fluB,0.71,-2314.356353
10,fluB,0.710794905,-2313.888857
10,fluB,0.74,-2311.481455
10,fluB,0.77,-2312.739614
10,fluB,0.8,-2311.330691
10,fluB,0.8,-2313.525108
10,fluB,0.83,-2313.411335
10,fluB,0.86,-2313.383532
10,fluB,0.89,-2311.558927
10,fluB,0.9,-2314.649808
10,fluB,0.92,-2312.216547
10,fluB,0.95,-2312.838067
10,fluB,0.98,-2310.353995
10,fluB,1,-2312.931437
