chi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0.81,-6072.524649,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.82,-6156.353757,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.83,-6238.961903,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.84,-6320.364283,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.85,-6400.573725,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.86,-6479.600444,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.87,-6557.452727,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.88,-6634.136153,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.89,-6709.653825,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.9,-6784.006532,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.91,-6857.192464,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.92,-6929.206952,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.93,-7000.042589,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.94,-7069.689211,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.95,-7138.133327,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.96,-7205.358432,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.97,-7271.344686,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.98,-7336.068548,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.99,-7399.502903,7,fluB,-2323.453976,-2321.533247,0.53,0.534
1,-7461.616901,7,fluB,-2323.453976,-2321.533247,0.53,0.534
