chi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0,-26645.85115,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.01,-26289.60217,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.02,-25938.14187,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.03,-25591.52021,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.04,-25249.786,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.05,-24912.9864,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.06,-24581.16692,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.07,-24254.37143,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.08,-23932.6425,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.09,-23616.02056,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.1,-23304.54462,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.11,-22998.25185,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.12,-22697.17743,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.13,-22401.35478,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.14,-22110.8153,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.15,-21825.58823,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.16,-21545.70066,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.17,-21271.17736,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.18,-21002.04072,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.19,-20738.31064,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.2,-20480.00436,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.21,-20227.13654,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.22,-19979.71908,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.23,-19737.7606,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.24,-19501.26718,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.25,-19270.24174,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.26,-19044.68409,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.27,-18824.59062,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.28,-18609.95512,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.29,-18400.76758,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.3,-18197.01502,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.31,-17998.68117,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.32,-17805.74638,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.33,-17618.18822,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.34,-17435.98076,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.35,-17259.09511,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.36,-17087.49935,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.37,-16921.15869,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.38,-16760.03546,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.39,-16604.08927,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.4,-16453.27718,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.41,-16307.55371,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.42,-16166.87101,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.43,-16031.17917,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.44,-15900.42569,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.45,-15774.55653,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.46,-15653.51567,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.47,-15537.24541,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.48,-15425.68643,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.49,-15318.77789,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.5,-15216.45765,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.51,-15118.66236,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.52,-15025.32745,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.53,-14936.38748,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.54,-14851.77601,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.55,-14771.42561,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.56,-14695.26834,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.57,-14623.23565,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.58,-14555.25816,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.59,-14491.26601,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.6,-14431.18899,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.61,-14374.95665,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.62,-14322.49781,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.63,-14273.74021,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.64,-14228.60077,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.65,-14186.89606,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.66,-14147.5835,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.67,-14102.90884,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.68,-13999.338,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.69,-13569.64986,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.7,-12564.31002,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.71,-11819.643,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.72,-11406.56095,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.73,-11140.29626,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.74,-10958.07522,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.75,-10832.00938,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.76,-10746.58337,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.77,-10692.11146,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.78,-10662.0789,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.79,-25167.22199,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.8,-25943.64215,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.81,-26701.09279,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.82,-27441.62642,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.83,-28166.88402,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.84,-28878.19877,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.85,-29576.67219,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.86,-30263.22208,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.87,-30938.62733,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.88,-31603.54803,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.89,-32258.55453,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.9,-32904.13868,9,fluA,-10663.99963,-10662.0789,0.78,0.783
0.91,-33540.73111,9,fluA,-10663.99963,-10662.0789,0.78,0.783
