chi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0,-3155.455902,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.01,-3138.829501,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.02,-3122.45006,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.03,-3106.297452,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.04,-3090.351672,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.05,-3074.612346,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.06,-3059.103875,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.07,-3043.854376,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.08,-3028.86197,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.09,-3014.083639,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.1,-2999.4696,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.11,-2985.019317,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.12,-2970.797011,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.13,-2956.869688,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.14,-2943.217069,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.15,-2929.721099,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.16,-2916.284481,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.17,-2902.972924,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.18,-2889.992954,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.19,-2877.460368,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.2,-2865.191819,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.21,-2852.827266,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.22,-2840.267265,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.23,-2827.944662,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.24,-2816.442214,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.25,-2805.701267,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.26,-2794.796394,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.27,-2782.878648,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.28,-2770.495669,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.29,-2759.485861,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.3,-2750.822628,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.31,-2742.715037,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.32,-2731.927132,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.33,-2717.926562,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.34,-2705.21184,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.35,-2698.925719,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.36,-2697.226386,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.37,-2690.828014,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.38,-2673.162486,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.39,-2652.190005,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.4,-2645.681469,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.41,-2657.454187,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.42,-2666.677354,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.43,-2646.934558,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.44,-2603.644405,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.45,-2585.429052,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.46,-2619.460777,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.47,-2668.730357,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.48,-2663.142097,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.49,-2576.691205,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.5,-2520.640618,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.51,-2586.186499,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.52,-2704.250224,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.53,-2749.359988,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.54,-2597.308005,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.55,-2465.56834,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.56,-2584.191681,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.57,-2779.271365,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.58,-2907.954221,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.59,-2650.353961,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.6,-2431.629649,3,fluB,-2376.016622,-2374.095892,0.69,0.693
0.61,-2656.517148,3,fluB,-2376.016622,-2374.095892,0.69,0.693
