psi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0.42,-8386.59948338699,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.43,-8380.61403111824,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.44,-8374.68673291648,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.45,-8368.81758898049,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.46,-8363.00647950813,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.47,-8357.2533279886,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.48,-8351.55815532035,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.49,-8345.92101282502,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.5,-8340.34192942869,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.51,-8334.82105497265,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.52,-8329.3584676285,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.53,-8323.95433904043,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.54,-8318.6090389226,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.55,-8313.32280492666,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.56,-8308.095921489,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.57,-8302.92885840414,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.58,-8297.82205278208,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.59,-8292.77605587107,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.6,-8287.79145515072,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.61,-8282.86891770934,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.62,-8278.00925221414,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.63,-8273.21325311317,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.64,-8268.48186215214,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.65,-8263.81611475278,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.66,-8259.21713771931,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.67,-8254.68615460759,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.68,-8250.22452934334,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.69,-8245.8337363606,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.7,-8241.51537177855,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.71,-8237.27114741928,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.72,-8233.102958452,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.73,-8229.01285895011,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.74,-8225.00299179311,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.75,-8221.0757752482,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.76,-8217.23369785532,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.77,-8213.47954018708,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.78,-8209.81618486342,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.79,-8206.24681385784,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.8,-8202.77475829545,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.81,-8199.40367472601,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.82,-8196.13731542756,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.83,-8192.97981265529,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.84,-8189.93555435397,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.85,-8187.00919047334,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.86,-8184.20560350428,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.87,-8181.53006849081,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.88,-8178.9881377464,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.89,-8176.58572434066,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.9,-8174.32905699401,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.91,-8172.2247010048,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.92,-8170.27963031065,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.93,-8168.5011483752,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.94,-8166.89699564411,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.95,-8165.4752798658,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.96,-8164.24448189852,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.97,-8163.21355978328,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0.98,-8162.39182875863,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
