"chi","loglik","HHS_region","Pathens2","loglik_cutoff","maxloglik","lower","upper"
0.68,-4864.52568233362,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.69,-4900.85601897343,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.7,-4930.99777444728,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.71,-4955.20685173097,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.72,-4973.68422607637,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.73,-4986.59306341172,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.74,-4994.07216085559,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.75,-4996.24807859751,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.76,-4993.24702185718,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.77,-4985.20638396938,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.78,-4972.28656042948,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.79,-4954.68320736973,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.8,-4932.63992529732,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.81,-4906.46094920593,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.82,-4876.52375622405,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.83,-4843.29121624205,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.84,-4807.32063653171,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.85,-4769.26980356176,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.86,-4729.89733269888,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.87,-4690.05509357414,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.88,-4650.67035692811,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.89,-4612.71586424779,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.9,-4577.1669681521,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.91,-4544.94663838365,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.92,-4516.86276340945,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.93,-4493.54395333609,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.94,-4475.38428006038,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.95,-4462.50661045292,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.96,-4454.75305241967,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.97,-4451.70497463267,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.98,-4452.7291775064,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.99,-4457.04091446885,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
1,-4463.77224625526,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
