psi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0,-6753.070551,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.01,-6742.37664,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.02,-6732.000301,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.03,-6721.947862,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.04,-6712.223111,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.05,-6702.829361,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.06,-6693.769766,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.07,-6685.046973,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.08,-6676.664084,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.09,-6668.623136,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.1,-6660.926818,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.11,-6653.576882,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.12,-6646.575651,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.13,-6639.924302,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.14,-6633.624436,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.15,-6627.677241,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.16,-6622.083503,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.17,-6616.844139,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.18,-6611.959508,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.19,-6607.42983,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.2,-22766.04168,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.21,-22755.34219,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.22,-22744.7797,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.23,-22734.35127,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.24,-22724.05504,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.25,-22713.88931,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.26,-22703.85028,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.27,-22693.93342,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.28,-22684.13893,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.29,-22674.46358,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.3,-22664.90266,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.31,-22655.45504,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.32,-22646.11766,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.33,-22636.88831,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.34,-22627.76354,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.35,-22618.73941,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.36,-22609.81411,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.37,-22600.98524,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.38,-22592.24866,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.39,-22583.60389,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.4,-22575.0468,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.41,-22566.57562,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.42,-22558.18701,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.43,-22549.87822,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.44,-22541.64753,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.45,-22533.49196,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.46,-22525.40901,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.47,-22517.39714,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.48,-22509.45386,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.49,-22501.57625,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.5,-22493.76229,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.51,-22486.00914,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.52,-22478.31649,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.53,-22470.68216,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.54,-22463.10296,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.55,-22455.58,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.56,-22448.10859,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.57,-22440.68753,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.58,-22433.31285,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.59,-22425.98391,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.6,-22418.70259,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.61,-22411.46584,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.62,-22404.27399,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.63,-22397.12491,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.64,-22390.01714,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.65,-22382.94935,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.66,-22375.92073,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.67,-22368.93111,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.68,-22361.97875,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.69,-22355.06288,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.7,-22348.18255,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.71,-22341.33794,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.72,-22334.52741,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.73,-22327.75139,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.74,-22321.00777,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.75,-22314.29737,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.76,-22307.61991,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.77,-22300.974,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.78,-22294.35966,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.79,-22287.77714,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.8,-22281.22569,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.81,-22274.70578,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.82,-22268.21617,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.83,-22261.75775,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.84,-22255.33024,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.85,-22248.93323,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.86,-22242.56686,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.87,-22236.23134,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.88,-22229.92714,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.89,-22223.65341,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.9,-22217.41077,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.91,-22211.19937,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.92,-22205.01902,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.93,-22198.86973,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.94,-22192.7528,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.95,-22186.66809,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.96,-22180.61595,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.97,-22174.59629,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.98,-22168.60962,9,fluB,-6609.35056,-6607.42983,0.19,0.195
0.99,-22162.65678,9,fluB,-6609.35056,-6607.42983,0.19,0.195
1,-22156.73748,9,fluB,-6609.35056,-6607.42983,0.19,0.195
