psi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0.85,-2851.479439,10,fluB,-2798.685069,-2796.76434,0.995,1
0.86,-2847.580629,10,fluB,-2798.685069,-2796.76434,0.995,1
0.87,-2843.717459,10,fluB,-2798.685069,-2796.76434,0.995,1
0.88,-2839.889999,10,fluB,-2798.685069,-2796.76434,0.995,1
0.89,-2836.098338,10,fluB,-2798.685069,-2796.76434,0.995,1
0.9,-2832.342543,10,fluB,-2798.685069,-2796.76434,0.995,1
0.91,-2828.622661,10,fluB,-2798.685069,-2796.76434,0.995,1
0.92,-2824.938739,10,fluB,-2798.685069,-2796.76434,0.995,1
0.93,-2821.290789,10,fluB,-2798.685069,-2796.76434,0.995,1
0.94,-2817.678863,10,fluB,-2798.685069,-2796.76434,0.995,1
0.95,-2814.102977,10,fluB,-2798.685069,-2796.76434,0.995,1
0.96,-2810.563145,10,fluB,-2798.685069,-2796.76434,0.995,1
0.97,-2807.059362,10,fluB,-2798.685069,-2796.76434,0.995,1
0.98,-2803.591634,10,fluB,-2798.685069,-2796.76434,0.995,1
0.99,-2800.159956,10,fluB,-2798.685069,-2796.76434,0.995,1
1,-2796.76434,10,fluB,-2798.685069,-2796.76434,0.995,1
