chi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0,-29089.85078,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.01,-28647.43593,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.02,-28202.02471,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.03,-27753.60712,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.04,-27302.17821,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.05,-26847.73594,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.06,-26390.28258,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.07,-25929.82634,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.08,-25466.38322,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.09,-24999.97906,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.1,-24530.6527,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.11,-24058.45852,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.12,-23583.47024,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.13,-23105.78469,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.14,-22625.52626,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.15,-22142.85157,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.16,-21657.95455,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.17,-21171.07165,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.18,-20682.4874,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.19,-20192.53946,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.2,-19701.62351,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.21,-19210.19753,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.22,-18718.78484,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.23,-18227.9759,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.24,-17738.42824,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.25,-17250.8641,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.26,-16766.06585,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.27,-16284.86844,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.28,-15808.14948,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.29,-15336.81668,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.3,-14871.79247,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.31,-14413.99849,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.32,-13964.33777,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.33,-13523.67746,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.34,-13092.83253,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.35,-12672.55098,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.36,-12263.50134,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.37,-11866.26332,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.38,-11481.32149,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.39,-11109.06214,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.4,-10749.77345,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.41,-10403.64768,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.42,-10070.78686,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.43,-9751.209168,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.44,-9444.85679,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.45,-9151.604917,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.46,-8871.270501,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.47,-8603.621365,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.48,-8348.384631,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.49,-8105.254874,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.5,-7873.901474,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.51,-7653.975001,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.52,-7445.113429,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.53,-7246.946639,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.54,-7059.101186,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.55,-6881.203419,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.56,-6712.883045,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.57,-6553.77492,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.58,-6403.521356,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.59,-6261.773509,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.6,-6128.192515,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.61,-6002.450397,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.62,-5884.230478,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.63,-5773.227814,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.64,-5669.14949,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.65,-5571.714385,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.66,-5480.653343,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.67,-5395.70884,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.68,-5316.634805,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.69,-5243.196339,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.7,-5175.169332,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.71,-5112.340048,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.72,-5054.504919,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.73,-5001.470115,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.74,-4953.050697,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.75,-4909.070935,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.76,-4869.363372,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.77,-4833.768717,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.78,-4802.135318,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.79,-4774.318708,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.8,-4750.181559,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.81,-4729.593046,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.82,-4712.42847,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.83,-4698.567212,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.84,-4687.821917,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.85,-4678.305755,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.86,-4646.211937,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.87,-4593.124225,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.88,-5700.0427,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.89,-6254.887376,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.9,-6737.903239,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.91,-7204.265857,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.92,-7658.59556,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.93,-8103.533144,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.94,-8540.751054,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.95,-8971.374691,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.96,-9396.186925,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.97,-9815.737516,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.98,-10230.40914,4,fluB,-4595.044955,-4593.124225,0.87,0.874
0.99,-10640.45142,4,fluB,-4595.044955,-4593.124225,0.87,0.874
1,-11046.00767,4,fluB,-4595.044955,-4593.124225,0.87,0.874
