psi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0,-5575.64982,5,fluB,-4109.27917,-4107.358441,0.995,1
0.01,-5532.937869,5,fluB,-4109.27917,-4107.358441,0.995,1
0.02,-5491.129946,5,fluB,-4109.27917,-4107.358441,0.995,1
0.03,-5450.426569,5,fluB,-4109.27917,-4107.358441,0.995,1
0.04,-5410.81363,5,fluB,-4109.27917,-4107.358441,0.995,1
0.05,-5372.274501,5,fluB,-4109.27917,-4107.358441,0.995,1
0.06,-5334.791726,5,fluB,-4109.27917,-4107.358441,0.995,1
0.07,-5298.341345,5,fluB,-4109.27917,-4107.358441,0.995,1
0.08,-5262.904732,5,fluB,-4109.27917,-4107.358441,0.995,1
0.09,-5228.458173,5,fluB,-4109.27917,-4107.358441,0.995,1
0.1,-5194.978418,5,fluB,-4109.27917,-4107.358441,0.995,1
0.11,-5162.440316,5,fluB,-4109.27917,-4107.358441,0.995,1
0.12,-5130.821909,5,fluB,-4109.27917,-4107.358441,0.995,1
0.13,-5100.097282,5,fluB,-4109.27917,-4107.358441,0.995,1
0.14,-5070.246632,5,fluB,-4109.27917,-4107.358441,0.995,1
0.15,-5041.242586,5,fluB,-4109.27917,-4107.358441,0.995,1
0.16,-5013.062208,5,fluB,-4109.27917,-4107.358441,0.995,1
0.17,-4985.683953,5,fluB,-4109.27917,-4107.358441,0.995,1
0.18,-4959.083228,5,fluB,-4109.27917,-4107.358441,0.995,1
0.19,-4933.238493,5,fluB,-4109.27917,-4107.358441,0.995,1
0.2,-4908.124214,5,fluB,-4109.27917,-4107.358441,0.995,1
0.21,-4883.723806,5,fluB,-4109.27917,-4107.358441,0.995,1
0.22,-4860.01283,5,fluB,-4109.27917,-4107.358441,0.995,1
0.23,-4836.970182,5,fluB,-4109.27917,-4107.358441,0.995,1
0.24,-4814.576501,5,fluB,-4109.27917,-4107.358441,0.995,1
0.25,-4792.813375,5,fluB,-4109.27917,-4107.358441,0.995,1
0.26,-4771.656942,5,fluB,-4109.27917,-4107.358441,0.995,1
0.27,-4751.091186,5,fluB,-4109.27917,-4107.358441,0.995,1
0.28,-4731.099803,5,fluB,-4109.27917,-4107.358441,0.995,1
0.29,-4711.662431,5,fluB,-4109.27917,-4107.358441,0.995,1
0.3,-4692.763571,5,fluB,-4109.27917,-4107.358441,0.995,1
0.31,-4674.38479,5,fluB,-4109.27917,-4107.358441,0.995,1
0.32,-4656.51111,5,fluB,-4109.27917,-4107.358441,0.995,1
