psi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0.85,-5679.306905,1,fluA,-3465.257623,-3463.336894,0,0.01
0.86,-5692.809064,1,fluA,-3465.257623,-3463.336894,0,0.01
0.87,-5706.288756,1,fluA,-3465.257623,-3463.336894,0,0.01
0.88,-5719.757103,1,fluA,-3465.257623,-3463.336894,0,0.01
0.89,-5733.223783,1,fluA,-3465.257623,-3463.336894,0,0.01
0.9,-5746.697123,1,fluA,-3465.257623,-3463.336894,0,0.01
0.91,-5760.184572,1,fluA,-3465.257623,-3463.336894,0,0.01
0.92,-5773.69238,1,fluA,-3465.257623,-3463.336894,0,0.01
0.93,-5787.226206,1,fluA,-3465.257623,-3463.336894,0,0.01
0.94,-5800.790774,1,fluA,-3465.257623,-3463.336894,0,0.01
0.95,-5814.390211,1,fluA,-3465.257623,-3463.336894,0,0.01
0.96,-5828.028081,1,fluA,-3465.257623,-3463.336894,0,0.01
0.97,-5841.707501,1,fluA,-3465.257623,-3463.336894,0,0.01
0.98,-5855.431057,1,fluA,-3465.257623,-3463.336894,0,0.01
0.99,-5869.201009,1,fluA,-3465.257623,-3463.336894,0,0.01
1,-5883.019194,1,fluA,-3465.257623,-3463.336894,0,0.01
