chi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0.81,-13206.5365,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.82,-13495.65309,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.83,-13782.71372,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.84,-14067.8647,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.85,-14351.23645,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.86,-14632.94628,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.87,-14913.1014,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.88,-15191.80083,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.89,-15469.13651,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.9,-15745.19504,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.91,-16020.05828,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.92,-16293.8051,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.93,-16566.51102,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.94,-16838.24934,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.95,-17109.0913,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.96,-17379.10693,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.97,-17648.36538,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.98,-17916.93421,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.99,-18184.88054,2,fluA,-8164.805402,-8162.884672,0.68,0.685
1,-18452.27095,2,fluA,-8164.805402,-8162.884672,0.68,0.685
