"HHS_region","pathogen2","psi","loglik"
3,"fluB",0,-2292.02361118299
3,"fluB",0.1,-2292.62716146897
3,"fluB",0.2,-2293.25780096853
3,"fluB",0.3,-2293.91557459098
3,"fluB",0.4,-2294.60033805335
3,"fluB",0.5,-2292.60173146784
3,"fluB",0.6,-2296.04901627995
3,"fluB",0.7,-2296.81146043236
3,"fluB",0.8,-2297.59802828002
3,"fluB",0.9,-2298.40747742134
3,"fluB",1,-2299.23849069847
