"","HHS_region","corre","CI_low","CI_high","virus"
"1",1,0.572924924412177,0.505677917163771,0.633252015439072,"RSV_fluA"
"2",2,0.37924319613914,0.296262620456641,0.456541379852738,"RSV_fluA"
"3",3,0.543322697330668,0.473909476610526,0.606025482620487,"RSV_fluA"
"4",4,0.483062247829813,0.40800306899785,0.551635200022096,"RSV_fluA"
"5",5,0.467610963658858,0.39122918950017,0.537594501655455,"RSV_fluA"
"6",6,0.569028308707525,0.502262144670987,0.629049986108714,"RSV_fluA"
"7",7,0.591308616767257,0.526797951689265,0.649046226454099,"RSV_fluA"
"8",8,0.404344037091239,0.323072038054081,0.479695706965196,"RSV_fluA"
"9",9,0.355019762339416,0.270513726998006,0.434096695306718,"RSV_fluA"
"10",10,0.587630967667798,0.522870357175927,0.645646955034941,"RSV_fluA"
"11",1,0.195484457194743,0.102709215018004,0.284887986263221,"RSV_fluB"
"12",2,0.0986277729642894,0.0051916120816607,0.190356689335816,"RSV_fluB"
"13",3,0.262848888734814,0.173631360369437,0.347787033778067,"RSV_fluB"
"14",4,0.367467170372708,0.283729920761603,0.44564235368326,"RSV_fluB"
"15",5,0.364812638082544,0.280908765984211,0.443182308156337,"RSV_fluB"
"16",6,0.66458962798014,0.608938014692622,0.713730631546325,"RSV_fluB"
"17",7,0.671432061244676,0.616520857378789,0.719843111381868,"RSV_fluB"
"18",8,0.623749850260394,0.56310058224858,0.677715828902972,"RSV_fluB"
"19",9,0.206503909494232,0.115244658391731,0.294306406269644,"RSV_fluB"
"20",10,0.267350511491395,0.178323318504207,0.352036100442014,"RSV_fluB"
"21",1,0.312719674082242,0.224696118482525,0.395680867726308,"fluA_fluB"
"22",2,0.225323385408452,0.134676195152625,0.312230546359375,"fluA_fluB"
"23",3,0.357826109394864,0.273490623190587,0.43670200732962,"fluA_fluB"
"24",4,0.411805885066976,0.3310670349018,0.486558729039457,"fluA_fluB"
"25",5,0.213073371232066,0.122019851229903,0.300570351490078,"fluA_fluB"
"26",6,0.558626922037255,0.490772348490862,0.619746136784883,"fluA_fluB"
"27",7,0.360711479759112,0.276354196292034,0.439553012276045,"fluA_fluB"
"28",8,0.429891429062094,0.350493007735067,0.503154685557352,"fluA_fluB"
"29",9,0.402081435811649,0.320650063889206,0.477612859974836,"fluA_fluB"
"30",10,0.225650989863767,0.135015072714031,0.312542018086949,"fluA_fluB"
