"HHS_region","pathogen2","chi","loglik"
6,"fluB",0.749999991008595,-4641.91041232309
6,"fluB",0.779999991008595,-4859.25853007116
6,"fluB",0.809999991008595,-4803.01483785992
6,"fluB",0.839999991008595,-4859.35565102935
6,"fluB",0.869999991008595,-4858.14682139968
6,"fluB",0.899999991008595,-4857.77396841689
6,"fluB",0.929999991008595,-4857.40005116135
6,"fluB",0.959999991008595,-4857.02509179433
6,"fluB",0.989999991008595,-4856.64913045463
6,"fluB",1.0199999910086,-4856.27226271105
6,"fluB",1.0499999910086,-4856.3177952632
6,"fluB",1.0799999910086,-4855.61906953804
6,"fluB",1.1099999910086,-4855.13625021975
6,"fluB",1.1399999910086,-4854.75604928554
6,"fluB",1.1699999910086,-4854.37498187221
6,"fluB",1.1999999910086,-4853.99343008636
6,"fluB",1.2299999910086,-4853.61130172274
