HHS_region,pathogen2,chi,loglik
10,fluA,0.495438334,-5045.733791
10,fluA,0.4966,-5045.9053
10,fluA,0.5,-5046.267643
10,fluA,0.522456418,-5048.074433
10,fluA,0.552456418,-5055.173192
10,fluA,0.582456418,-5067.047889
10,fluA,0.6,-5076.712176
10,fluA,0.612456418,-5084.482958
10,fluA,0.7,-5161.376195
10,fluA,0.8,-5255.913329
10,fluA,0.9,-5333.229026
10,fluA,1,-5352.023627
