	GMRF Skyride: gisaid_BA_north_100901_190430_combined.log			
Time	Mean	Median	Upper	Lower
2019.25205	7.763218515248364	6.165059482776168	23.216447703119783	1.758727138671654
2019.1495652574415	7.719691085987552	6.321052634350586	21.746823364439035	2.125689384000853
2019.047080514883	7.67640366474148	6.474379681631822	19.75010007949082	2.3188743447220217
2018.9445957723244	7.634351780028779	6.516395940101464	19.001558311346926	2.3998106377457518
2018.8421110297659	7.728612386912813	6.740315951726224	18.09375238106739	2.7473373144024618
2018.7396262872073	7.464096770855195	6.59677377743597	17.038075449719503	2.890083394865165
2018.6371415446488	6.969432370974424	6.22078730312925	15.31400681951604	2.6635874790095717
2018.5346568020902	6.43490063084863	5.730043693270569	14.308155931559188	2.4188995413711782
2018.4321720595317	5.983526709659967	5.362281795216324	13.314461018539218	2.2303308035510647
2018.3296873169731	5.720357497742072	5.117437014948159	12.65665024253989	2.0196558698204155
2018.2272025744146	5.6962305379277005	5.166454360211995	12.441861195260733	2.0402358774747706
2018.124717831856	6.26236036095396	5.75716309020611	12.898755652259785	2.5889436394340635
2018.0222330892975	6.749825828275922	6.250121540968945	13.295889248991262	3.0843181461049096
2017.919748346739	7.38826939386732	6.9587534707376415	13.690610552141587	3.6648150801043045
2017.8172636041804	8.463323140371132	7.986542437898432	14.957144813835596	4.339717339429877
2017.7147788616219	10.730136680089887	10.18842258905881	19.005588491482083	5.605451346156054
2017.6122941190633	13.919558864465785	13.097808168884708	24.513844618108656	7.266590492982788
2017.5098093765048	16.21321328545672	15.164440998323421	30.48547660782016	8.230153960597374
2017.4073246339462	17.553706611024666	16.33786971829861	33.30390967334572	8.54493359812205
2017.3048398913877	18.410265544028544	17.035223526099195	34.96342596344663	8.651130041057492
2017.2023551488292	18.75520832493114	17.499770533322835	36.274879026042946	8.439984760762446
2017.0998704062706	19.312865478295514	17.93469317229858	38.83388921361338	8.4752689766893
2016.997385663712	20.51036984296909	18.998834946074684	41.61023308292623	9.113857809451098
2016.8949009211535	22.49121512983753	20.79409829018808	44.44642252898493	10.392425745338704
2016.792416178595	25.18773365584346	23.484719472392886	48.015832577329995	12.698361579019933
2016.6899314360364	27.777662745261306	26.088523607050856	51.179555430516906	14.706801003075423
2016.587446693478	28.064347789519488	26.653264233512967	49.85202408572476	15.014918451118044
2016.4849619509193	26.518492666427072	25.20919283287402	47.13479612172145	13.959062956807754
2016.3824772083608	24.410305426185065	23.01765837330353	44.09087852206057	12.162325975039646
2016.2799924658023	22.482541931124516	21.101669936923138	42.10342845346843	11.050267462234567
2016.1775077232437	21.37374753581859	20.038185436438717	40.75023758004152	10.010077848778888
2016.0750229806852	21.62879317431288	20.319187815814434	40.91811614747097	10.332660533435178
2015.9725382381266	22.96728355328561	21.720192720084157	42.19300708230264	11.632663891697701
2015.870053495568	25.038660891865305	23.663655307270545	43.722989559550065	13.260884569412932
2015.7675687530095	27.563144943910306	26.29781224086212	47.31235305229612	15.222357568937595
2015.665084010451	29.39833788932728	28.163714428960777	49.043763265555015	16.988235729968103
2015.5625992678924	29.47366474363218	28.241050692993575	49.52084048516253	16.795230831796374
2015.460114525334	29.249126215787925	28.037486502022507	49.99654219593462	16.33994863366977
2015.3576297827753	28.898732134303405	27.566008301235268	49.46614097915865	15.973668506777118
2015.2551450402168	29.147536405977817	27.73689598317167	50.832311415382435	15.875010694133277
2015.1526602976583	29.630344217479244	28.18657762002151	52.33500733828444	15.937683460089184
2015.0501755550997	30.766843078394423	29.280621644447734	53.96952879063562	16.563018810928114
2014.9476908125412	31.557654118040077	30.109045515229635	54.01190744473765	17.586936098120898
2014.8452060699826	32.143874359986555	30.732954974846056	54.02293980472772	18.082757685880186
2014.742721327424	32.960286613423555	31.597095597991228	54.97265730261427	18.90528057353583
2014.6402365848655	34.27673826797076	32.95912381479479	56.60255706922925	19.57850420046335
2014.537751842307	34.1816668487094	32.89911177739485	56.60704395628033	19.404152062565725
2014.4352670997484	33.688097029343446	32.03575146360717	57.017904377037055	19.05819154750454
2014.33278235719	33.29222754672407	31.683807717608115	57.67277518472921	18.05422788570531
2014.2302976146314	33.59340601538588	31.91980807974338	58.732092871818324	17.593053800229708
2014.1278128720728	34.979139043997435	33.11539570625682	61.4134608715325	18.316834283128433
2014.0253281295143	38.55998052610191	36.79291641646682	66.91671783265991	20.7900084803053
2013.9228433869557	43.62461777953672	41.76072606293531	73.72401909840502	25.025769467721627
2013.8203586443972	48.491532547844685	46.5454043889873	79.12634758169744	29.144444163229892
2013.7178739018386	53.144712445087464	51.07544711396253	84.6515124198046	32.81047061145392
2013.61538915928	54.36498227330615	52.20518716376117	86.19261034985045	33.608100474607205
2013.5129044167215	47.44139446737235	45.80882466240014	76.15817156071901	28.70322822489872
2013.410419674163	39.53881633836728	38.10082884046062	64.12117764014987	23.83523521588028
2013.3079349316044	35.109134376253905	33.847253630494805	57.13878088113192	20.249191945837847
2013.205450189046	36.091130716306346	34.65408982581319	58.74663449797554	20.87235535447538
2013.1029654464874	40.35217408159714	38.596431076947056	65.47511814996203	23.583327928684916
2013.0004807039288	45.8896304669178	43.701734994742516	74.35440479808743	26.554044497654726
2012.8979959613703	58.278705886502486	55.83052704813511	93.26953164623802	34.68740758949612
2012.7955112188117	74.65863410863612	71.27066286369315	119.36690267072146	46.56331745441015
2012.6930264762532	80.25109000394058	76.67398887366238	131.23183825115558	47.96436757390296
2012.5905417336946	74.82007959645293	71.30773284438628	122.78447056666332	44.1818539237091
2012.488056991136	64.35817434775888	60.731573243902425	107.83400867609355	37.228604284769645
