	GMRF Skyride: gisaid_ON1_north_100901_190430_combined2.log			
Time	Mean	Median	Upper	Lower
2019.23013	2.976765503156356	1.997080315513543	11.684271576243848	0.3179786882030705
2019.144471321698	2.987237920492838	2.1389161129048193	10.883233112390284	0.4157633428444607
2019.0588126433959	3.0273651611858767	2.2033884003261566	10.386336481298995	0.49298500264580186
2018.9731539650938	3.5504901878553654	2.7967995395628673	10.610246179565783	0.7919087357105179
2018.8874952867918	5.332984709066359	4.542866595047035	13.51614643999704	1.7851691500301257
2018.8018366084898	7.27417035529149	6.440218638364722	16.35122240378891	2.880209220093617
2018.7161779301878	8.5363075720287	7.573885467901169	19.391290946809818	3.4108016354118966
2018.6305192518857	9.28369426535394	8.317576663617121	20.536768450379753	3.6854945272539155
2018.5448605735837	9.552702465536143	8.536292587890658	21.217989078927722	3.7335995739399266
2018.4592018952817	9.426594132803917	8.402956680585588	21.121781438364888	3.561172121567354
2018.3735432169797	9.086824918264444	8.094410485066938	20.362075130193848	3.44905654243254
2018.2878845386776	8.713511908325891	7.846523741548271	19.171490563166824	3.250336785618858
2018.2022258603756	8.346960081622973	7.555566625761045	17.71299315151847	3.1765846928100396
2018.1165671820736	7.9829027518676625	7.322140657554801	16.685394496416446	3.1351371707163977
2018.0309085037716	8.297231826418013	7.648662651414563	16.869524281158803	3.62923298652714
2017.9452498254695	11.22451781097141	10.473044664567752	21.436432985175006	5.521509127121995
2017.8595911471675	16.536827382254142	15.409121895937574	31.76935361425503	8.110257379984972
2017.7739324688655	23.051102023584345	21.285408609780255	46.27896955187789	10.82269201443643
2017.6882737905635	29.006289613398963	26.506915793570485	58.906319447970276	13.38233628374996
2017.6026151122614	32.2912071970054	29.525036413057514	66.53162549502994	14.766126293080177
2017.5169564339594	31.879798541986826	29.05909158234439	66.46430969468899	14.114911738225931
2017.4312977556574	29.29943804553479	26.834270770639225	60.31074554399278	12.582543981811654
2017.3456390773554	25.788779836688423	23.46619407178997	53.68161316511313	11.116772436554514
2017.2599803990533	22.25745923512808	20.261149649220513	46.007732828928006	9.726147932126162
2017.1743217207513	19.731493057529203	18.210900637535012	39.35660846485727	8.984828994212023
2017.0886630424493	19.451343018160582	18.06096795498704	37.521038084099075	8.921304855105975
2017.0030043641473	22.63235337422198	21.273188950150132	41.991004290888576	11.27853253649046
2016.9173456858452	30.150448684750607	28.550853517315137	53.34171663564507	15.966268857072413
2016.8316870075432	40.841629444006635	38.30209253241469	76.2510268226887	20.848066138354394
2016.7460283292412	50.50289069068795	47.125866386627784	96.36782946766644	24.900409717878116
2016.6603696509392	59.42933726594342	55.35180026488243	110.72231848366145	29.815802352191046
2016.5747109726371	64.74331234561959	60.0450451848133	123.617426424097	32.288983358300044
2016.4890522943351	67.64335619286084	62.74407971441499	130.0556269443785	32.49408375827414
2016.403393616033	68.55516727685784	63.33536527834081	133.7635007567517	32.49011263101823
2016.317734937731	69.02279358009689	63.85945596617033	133.77445270477838	31.25644870601171
2016.232076259429	68.91423367068244	63.80014225113239	135.43047132374835	31.541136965553182
2016.146417581127	69.09279631092886	63.68321256053787	136.83919588301413	31.482299773514985
2016.060758902825	66.51279591930874	61.47322661881678	131.7852744176842	31.390392031708675
2015.975100224523	63.90095002625848	59.01655985473938	125.33967281860328	30.686909988181384
2015.889441546221	62.47076455109875	58.224770931471504	119.40331792734679	30.053510661744703
2015.803782867919	60.116827557999294	55.732825229559744	116.52914299436087	28.793485679951434
2015.718124189617	57.29741648970769	53.10763357782993	111.32196808291508	26.68177106284568
2015.6324655113149	51.58606810419241	48.00190680275211	101.11099722289194	24.21395561956975
2015.5468068330129	44.706336329885225	41.452690400872136	87.38123515933627	21.390339711518642
2015.4611481547108	37.20630554412358	34.58939665473391	71.40374368758481	17.841907907700307
2015.3754894764088	29.97778481363549	27.796134780039488	57.12004763901761	14.011664824188673
2015.2898307981068	24.564739861340566	22.868648634713374	46.798034281146855	11.507170074801058
2015.2041721198048	21.49983482355997	20.088004102491873	41.562834745418826	9.918254895479647
2015.1185134415027	22.052438976922552	20.57885868328507	42.15902908732004	10.296047512271759
2015.0328547632007	26.131239626335205	24.597217955985826	48.21395907991407	12.891865158819986
2014.9471960848987	34.93909770593928	33.179449403380104	60.3055669525055	19.00332561351038
2014.8615374065967	42.927609402054216	41.16658852326609	71.7367465648769	24.073296239292883
2014.7758787282946	43.743868666773785	41.837009404276955	74.60778901467812	23.388131535566746
2014.6902200499926	43.33248171943096	41.12076156344065	75.5779529319181	23.32736887396544
2014.6045613716906	40.95197487923662	39.07241967359897	70.92875119520431	22.1935909486223
2014.5189026933886	36.134337885945605	34.47079314528222	63.029800380318356	19.668195056707184
2014.4332440150865	32.13840907794416	30.612815107660122	56.75620211096167	17.191671314596764
2014.3475853367845	30.55601832887701	28.75905898723517	54.43241735607488	15.760089040874321
2014.2619266584825	33.207629827393156	31.436380660731192	60.54277590164973	16.343681595959538
2014.1762679801805	41.67800303563178	39.48904250489425	75.95963299523738	21.359912217573257
