,HHS_region,mean_tmp
320,region3,4.395
321,region3,2.571
322,region3,7.48
323,region3,6.226
324,region3,4.688
325,region3,0.606
326,region3,4.0489999999999995
327,region3,1.7730000000000001
328,region3,3.3710000000000004
329,region3,3.583
330,region3,2.2840000000000003
331,region3,6.4670000000000005
332,region3,2.818
333,region3,1.889
334,region3,3.7089999999999996
335,region3,4.145
336,region3,2.855
337,region3,4.603
338,region3,3.944
339,region3,4.071000000000001
340,region3,5.392
341,region3,2.588
342,region3,6.9670000000000005
343,region3,5.178
344,region3,4.085
345,region3,2.2030000000000003
346,region3,3.548
347,region3,2.281
348,region3,1.7919999999999998
349,region3,3.173
350,region3,3.033
351,region3,3.425
352,region3,1.183
353,region3,2.226
354,region3,4.072
355,region3,1.8980000000000001
356,region3,1.9480000000000002
357,region3,5.309
358,region3,3.1510000000000002
359,region3,3.135
360,region3,3.008
361,region3,3.991
362,region3,3.333
363,region3,3.4739999999999998
364,region3,3.486
365,region9,1.9240000000000002
366,region9,2.04
367,region9,5.6370000000000005
368,region9,4.123
369,region9,8.139
370,region9,4.479
371,region9,5.968999999999999
372,region9,3.9019999999999997
373,region9,7.362
374,region9,4.413
375,region9,4.421
376,region9,4.72
377,region9,3.96
378,region9,2.0980000000000003
379,region9,2.255
380,region9,3.35
381,region9,3.8
382,region9,4.002
383,region9,2.891
384,region9,6.7139999999999995
385,region9,3.7969999999999997
386,region9,12.177999999999999
387,region9,8.394
388,region9,2.385
389,region9,1.81
390,region9,6.441
391,region9,5.937
392,region9,1.5490000000000002
393,region9,0.46799999999999997
394,region9,2.193
395,region9,8.401
396,region9,5.398
397,region9,7.162999999999999
398,region9,4.593
399,region9,4.672
400,region9,6.452000000000001
401,region9,0.363
402,region9,0.857
403,region9,3.7510000000000003
404,region9,3.1519999999999997
405,region9,3.862
406,region9,1.5759999999999998
407,region9,3.7880000000000003
408,region9,1.012
409,region9,2.011
410,region9,9.682
411,region9,1.936
412,region9,13.309000000000001
413,region9,5.524
414,region9,8.381
415,region9,7.156000000000001
416,region9,3.7310000000000003
417,region9,5.432
418,region9,3.8089999999999997
419,region9,2.18
420,region9,1.841
421,region9,2.27
422,region9,5.9670000000000005
423,region9,4.784
424,region9,0.9229999999999999
425,region9,7.896
426,region9,1.364
427,region9,6.718999999999999
