HHS_region,season,mean_temp
region1,1948.0,44.36770833333333
region1,1949.0,35.353119047619046
region1,1950.0,38.70207142857143
region1,1951.0,36.47121428571428
region1,1952.0,38.17497619047619
region1,1953.0,39.42916666666667
region1,1954.0,38.596738095238095
region1,1955.0,35.82716666666666
region1,1956.0,36.83721428571429
region1,1957.0,38.11038095238095
region1,1958.0,34.887952380952385
region1,1959.0,37.21009523809524
region1,1960.0,35.330333333333336
region1,1961.0,39.05230952380952
region1,1962.0,33.96792857142857
region1,1963.0,35.28502380952381
region1,1964.0,34.96892857142857
region1,1965.0,36.13883333333333
region1,1966.0,35.39409523809523
region1,1967.0,35.778666666666666
region1,1968.0,36.032333333333334
region1,1969.0,35.46233333333333
region1,1970.0,36.720285714285716
region1,1971.0,36.24878571428572
region1,1972.0,34.348214285714285
region1,1973.0,36.34854761904762
region1,1974.0,36.69771428571429
region1,1975.0,37.16302380952381
region1,1976.0,34.25407142857143
region1,1977.0,36.870738095238096
region1,1978.0,34.754666666666665
region1,1979.0,36.05283333333333
region1,1980.0,33.94088095238095
region1,1981.0,36.12011904761905
region1,1982.0,38.25064285714286
region1,1983.0,35.354238095238095
region1,1984.0,38.10511904761905
region1,1985.0,37.321666666666665
region1,1986.0,35.90042857142857
region1,1987.0,37.093047619047624
region1,1988.0,35.82980952380952
region1,1989.0,34.437404761904766
region1,1990.0,38.41719047619048
region1,1991.0,38.81483333333333
region1,1992.0,37.3997619047619
region1,1993.0,36.42954761904762
region1,1994.0,37.40011904761905
region1,1995.0,34.321666666666665
region1,1996.0,37.50064285714286
region1,1997.0,36.28154761904762
region1,1998.0,38.72004761904762
region1,1999.0,40.62052380952381
region1,2000.0,37.181785714285716
region1,2001.0,39.151738095238095
region1,2002.0,37.00597619047619
region1,2003.0,39.82485714285714
region1,2004.0,35.46440476190477
region1,2005.0,37.078880952380956
region1,2006.0,39.114285714285714
region1,2007.0,39.55835714285714
region1,2008.0,36.815
region1,2009.0,38.51728571428572
region1,2010.0,37.47671428571429
region1,2011.0,41.220238095238095
region1,2012.0,38.00754761904762
region1,2013.0,39.00083333333333
region1,2014.0,38.89216666666667
region1,2015.0,39.58509523809524
region1,2016.0,36.13433333333334
region1,2017.0,39.278357142857146
region1,2018.0,39.743095238095236
region1,2019.0,37.64147619047619
region1,2020.0,38.99845238095238
region1,2021.0,32.48705555555556
region10,1948.0,40.523833333333336
region10,1949.0,39.54566666666667
region10,1950.0,38.57119047619047
region10,1951.0,37.240761904761904
region10,1952.0,40.38647619047619
region10,1953.0,40.55171428571428
region10,1954.0,41.257714285714286
region10,1955.0,39.536142857142856
region10,1956.0,37.83257142857143
region10,1957.0,39.602761904761905
region10,1958.0,39.58128571428571
region10,1959.0,40.53209523809524
region10,1960.0,40.53623809523809
region10,1961.0,37.989666666666665
region10,1962.0,42.006523809523806
region10,1963.0,40.94261904761905
region10,1964.0,39.3712380952381
region10,1965.0,39.56880952380953
region10,1966.0,41.50628571428572
region10,1967.0,40.80771428571428
region10,1968.0,39.794761904761906
region10,1969.0,40.42352380952381
region10,1970.0,37.934333333333335
region10,1971.0,38.80590476190476
region10,1972.0,38.64080952380952
region10,1973.0,39.36366666666667
region10,1974.0,40.719904761904765
region10,1975.0,39.81138095238095
region10,1976.0,39.531142857142854
region10,1977.0,39.774190476190476
region10,1978.0,38.99319047619048
region10,1979.0,41.81928571428572
region10,1980.0,39.371809523809524
region10,1981.0,40.91619047619048
region10,1982.0,40.36238095238095
region10,1983.0,38.08938095238096
region10,1984.0,39.44404761904762
region10,1985.0,36.43790476190476
region10,1986.0,38.856047619047615
region10,1987.0,41.86419047619048
region10,1988.0,41.76857142857143
region10,1989.0,41.35114285714286
region10,1990.0,38.8267619047619
region10,1991.0,41.70809523809524
region10,1992.0,40.28638095238095
region10,1993.0,42.01642857142857
region10,1994.0,38.296285714285716
region10,1995.0,42.09242857142857
region10,1996.0,40.88476190476191
region10,1997.0,40.96861904761905
region10,1998.0,40.698190476190476
region10,1999.0,42.184761904761906
region10,2000.0,39.58723809523809
region10,2001.0,41.779333333333334
region10,2002.0,40.47504761904762
region10,2003.0,40.89857142857143
region10,2004.0,41.57033333333333
region10,2005.0,40.55309523809524
region10,2006.0,40.99771428571429
region10,2007.0,40.255
region10,2008.0,40.738571428571426
region10,2009.0,38.89509523809524
region10,2010.0,40.58876190476191
region10,2011.0,41.66109523809524
region10,2012.0,40.24147619047619
region10,2013.0,40.54542857142857
region10,2014.0,41.55161904761904
region10,2015.0,41.50757142857143
region10,2016.0,42.21971428571429
region10,2017.0,42.352476190476196
region10,2018.0,39.744285714285716
region10,2019.0,40.74671428571429
region10,2020.0,41.38247619047619
region10,2021.0,37.85366666666667
region2,1948.0,47.168125
region2,1949.0,39.05807142857143
region2,1950.0,41.57235714285714
region2,1951.0,40.39928571428572
region2,1952.0,40.98735714285714
region2,1953.0,42.6315
region2,1954.0,41.70035714285715
region2,1955.0,39.92592857142857
region2,1956.0,40.62385714285714
region2,1957.0,40.779999999999994
region2,1958.0,38.998071428571436
region2,1959.0,40.28542857142857
region2,1960.0,39.108285714285714
region2,1961.0,42.374500000000005
region2,1962.0,37.180142857142854
region2,1963.0,38.99585714285714
region2,1964.0,38.66242857142857
region2,1965.0,39.88428571428572
region2,1966.0,38.720571428571425
region2,1967.0,38.464214285714284
region2,1968.0,39.978
region2,1969.0,38.33528571428571
region2,1970.0,40.633785714285715
region2,1971.0,40.249500000000005
region2,1972.0,38.315428571428576
region2,1973.0,40.14921428571428
region2,1974.0,40.17035714285714
region2,1975.0,41.14564285714285
region2,1976.0,37.69985714285714
region2,1977.0,40.483000000000004
region2,1978.0,38.708571428571425
region2,1979.0,38.95485714285714
region2,1980.0,37.1715
region2,1981.0,39.150357142857146
region2,1982.0,41.679857142857145
region2,1983.0,38.77478571428571
region2,1984.0,41.55650000000001
region2,1985.0,40.96578571428571
region2,1986.0,39.999857142857145
region2,1987.0,40.37992857142857
